player_name,season,p_throws,total_pitches,release_x,release_z,extension,avg_velo,map_x,map_y
"Abbott, Cory",2022,R,845.0,-2.54265352,5.67148709,6.1583821400000005,88.51785156,-0.34086092373549487,-0.3043367542467342
"Abreu, Albert",2022,R,747.0,-1.8949016000000003,5.71022076,6.5576750399999995,94.44549892,-1.4815678264611234,1.2288963064605087
"Abreu, Bryan",2022,R,1213.0,-2.05288364,5.76973551,6.43180394,91.92756721999999,-0.968850622180352,0.677985534586173
"Acevedo, Domingo",2022,R,989.0,-2.00385164,5.46860184,5.78201378,89.38200001999999,0.10986160888620354,-0.34694725471834126
"Adam, Jason",2022,R,963.0,-1.6563206400000001,5.938769519999999,6.54609606,88.43843103,-0.3821451680151354,0.04892682609290511
"Adon, Joan",2022,R,1278.0,-2.603856054394561,6.031207789221079,6.315383361663834,90.74005628437158,-0.6727809160214946,0.6990664121484008
"Akin, Keegan",2022,L,1283.0,2.28621857,5.96220096,5.862111690000001,89.24665414,1.8215929140398248,0.35535258228561367
"Alcantara, Sandy",2022,R,3148.0,-2.108428112811281,6.052728182818282,5.90401107110711,94.39173092309228,-0.4511497022740207,1.6219306232368194
"Alexander, Jason",2022,R,1160.0,-2.3091092290770923,5.409568933106689,6.244305469453056,88.10252200779921,-0.4771564426529711,-0.7284669395852138
"Alexander, Scott",2022,L,214.0,1.8340462700000002,5.736987690000001,6.124800130000001,90.23734606000001,1.0271271017014336,0.3109184414041942
"Alexander, Tyler",2022,L,1560.0,1.9437914991499152,5.740842584258426,6.277769666966697,86.11324780478047,1.4507443340692738,-0.6887413889990288
"Allard, Kolby",2022,L,299.0,1.8201953800000001,5.450182400000001,6.038796270000001,87.21696438000001,1.3955145961196054,-0.7959010384172615
"Allen, Logan",2022,L,223.0,2.02007896,6.06292308,5.876671780000001,85.63857390999999,2.287335763762229,-0.40930594456640146
"Almonte, Yency",2022,R,510.0,-1.6939727172717272,5.669187238723873,6.651151785178517,89.81996397639764,-0.901109348473534,0.04985560893791898
"Alvarado, José",2022,L,1031.0,1.1553533100000002,6.523845250000001,6.76060771,97.00879789,-0.5595622567905807,2.9702535660106464
"Alvarez, Jose",2022,L,273.0,2.05099066,5.72843228,6.4596687,86.50079941999999,1.1782068048961072,-0.600707025657765
"Anderson, Chase",2022,R,523.0,-1.302624407559244,5.9641983101689835,5.912996800319969,87.19628377162284,0.7940530957654399,-0.23520370765084464
"Anderson, Ian",2022,R,2005.0,-1.57631305,6.2418133000000005,6.90369654,89.76247586,-0.8431654844220675,0.7703312140996539
"Anderson, Tyler",2022,L,2662.0,1.91483022,6.014036500000001,6.10058516,85.67843918,1.9109902655646356,-0.45675571429703066
"Arano, Víctor",2022,R,697.0,-1.99603041,5.91155073,6.20971735,89.70699160000001,-0.24260770528527859,0.3064150047331296
"Archer, Chris",2022,R,1837.0,-1.3608837516248375,6.2592067593240674,6.173580131986801,89.68787848215177,0.24430232841170463,0.7559741297697775
"Arihara, Kohei",2022,R,390.0,-2.736668,5.736004330000001,6.68896809,85.79164361000001,-0.698748308632506,-0.8798266035474687
"Armstrong, Shawn",2022,R,1055.0,-1.99877245,5.88784893,6.605019120000001,93.83573921000001,-1.3857901776862178,1.3025245024216119
"Ashby, Aaron",2022,L,1878.0,0.67471869,6.31162677,5.52228113,88.72051317,2.009773173109094,0.6156648032272047
"Ashcraft, Graham",2022,R,1689.0,-1.297062503749625,6.197624607539247,5.591825267473252,94.08900274972503,0.38813726399662,1.7413118914279806
"Assad, Javier",2022,R,610.0,-1.8300680100000002,5.913204499999999,6.55918721,89.26371884999999,-0.5944479032673604,0.21518731595320337
"Baker, Bryan",2022,R,1198.0,-0.67227776,6.556821759999999,6.49164288,91.69469584,-0.05162121802721658,1.6523415156128114
"Banda, Anthony",2022,L,597.0,1.8396518148185181,5.710934776522348,6.236173112688729,90.1364692530747,0.8763926801428865,0.25697262664681225
"Banks, Tanner",2022,L,897.0,2.4406402000000003,6.282651900000001,5.87925824,88.8736145,2.1022950026866916,0.6731352440377713
"Banuelos, Manny",2022,L,802.0,1.9121703600000002,5.51775271,6.372086339999999,87.66336124,0.9528496883773971,-0.5878885252525612
"Bard, Daniel",2022,R,1014.0,-1.9200267126712673,5.819047874787479,5.961236643664367,93.54985216521652,-0.48585831312397,1.1267057109055563
"Bard, Luke",2022,R,241.0,-1.56026752,5.5146482,6.3846685999999995,87.93724476000001,-0.31799671065776625,-0.6126732865102631
"Barlow, Joe",2022,R,554.0,-0.31767513751375137,5.724601910191018,5.997795739573958,89.04676719671964,0.6109446955992168,-0.05587996618342409
"Barlow, Scott",2022,R,1198.0,-2.00473613,5.1528547200000006,6.79874408,84.69982689,-0.7936106742196846,-1.8623735712167446
"Barnes, Jacob",2022,R,396.0,-1.91698662,5.744305880000001,6.74090378,91.36709408,-1.2762384416883494,0.5217078503835103
"Barnes, Matt",2022,R,693.0,-1.60690582,6.20693807,6.76566959,89.31612497,-0.62401170689336,0.6114892805825578
"Barria, Jaime",2022,R,1138.0,-1.9294331533153317,6.483776647664766,6.023551385138514,87.87129239923992,0.6472791539055033,0.5744969275371301
"Bass, Anthony",2022,R,1027.0,-1.50879733,5.84176325,6.3988295,90.04915403,-0.4209263017236587,0.3207355585258164
"Bassitt, Chris",2022,R,3106.0,-1.203981861813819,5.594177892210779,6.215926247375262,86.50839148085191,0.28883249851813647,-0.8592596941415135
"Baumann, Mike",2022,R,541.0,-1.7725484200000001,6.43772225,6.42358455,92.0920578,-0.473471206976782,1.5691721174956799
"Bautista, Félix",2022,R,1007.0,-0.6801684500000001,6.981744140000001,6.442717480000001,94.52291235000001,-0.13221615705072345,2.8815920261003742
"Baz, Shane",2022,R,444.0,-1.5323173817381737,5.8819296429642955,6.534894909490949,90.28827638763876,-0.6233955525873163,0.4339562580812515
"Bazardo, Eduard",2022,R,214.0,-2.16496436,5.67674182,5.76776531,88.59957225000001,0.3126863334264669,-0.28059382015810386
"Beasley, Jeremy",2022,R,271.0,-1.9847025002500251,5.759229792979298,6.340978637863787,90.79576901690169,-0.6661604187755636,0.3857273237812814
"Bednar, David",2022,R,890.0,-2.274463646364637,5.8209988998899895,6.452451685168517,89.54715627562756,-0.7019466044225487,0.15350190327234406
"Beede, Tyler",2022,R,1072.0,-1.83300057,5.36276727,6.50625009,89.7270176,-0.9277180603728697,-0.368297676163575
"Beeks, Jalen",2022,L,1028.0,0.743924487551245,6.127495370462955,6.5447586441355865,92.40672750724927,0.005467943075039374,1.3224994520856814
"Bellatti, Andrew",2022,R,1070.0,-1.59619088,5.470919520000001,5.87721556,89.58312276000001,0.0956450691163847,-0.2811991810534091
"Bello, Brayan",2022,R,997.0,-2.052136596340366,5.403111098890111,6.371514608539147,91.94766431356865,-1.114607454645277,0.2178032317880624
"Bender, Anthony",2022,R,310.0,-1.3457079,5.80173455,5.902567780000001,92.68854047,-0.09296366215201862,0.9061712485014272
"Berríos, José",2022,R,2787.0,-2.85821458,5.4061900000000005,6.40414062,89.09471437,-1.0299820033949612,-0.4980501662970899
"Bickford, Phil",2022,R,1006.0,-2.49963801,5.09081594,6.822819109999999,90.63587346999999,-1.887164407010128,-0.4955974373882475
"Bieber, Shane",2022,R,3075.0,-1.30232692,5.5798670800000005,6.62746142,87.01222339,-0.38495354051968017,-0.7429286910395102
"Bielak, Brandon",2022,R,226.0,-1.5675463753624634,6.297201369863013,5.468597560243975,89.17319228077191,1.22591357962895,0.6496781994691898
"Bird, Jake",2022,R,713.0,-2.48561663,5.34297593,5.7692947100000005,92.03374871,-0.49790760598993544,0.13251750827394124
"Blach, Ty",2022,L,682.0,2.8231173117311736,6.154066226622662,5.247651425142514,86.87308466846684,3.300607726827528,0.009060903134296984
"Blackburn, Paul",2022,R,1762.0,-1.7536672367236723,5.964236223622362,6.285299939994,87.22535452545254,0.12712706771093063,-0.22752546606936502
"Bleier, Richard",2022,L,821.0,3.02478106,5.928048619999999,6.64642997,86.77905897,1.3474520679739737,-0.24938325318426274
"Bolaños, Ronald",2022,R,332.0,-1.97916452,6.14738738,6.58372964,88.39008608,-0.4110324678838557,0.29361260771071523
