player_id,season,player_name,n_pitch_types,hull_area,hull_method,avg_nn_distance,fastball_relative_break,anchor_type,no_anchor_available,velocity_range,max_velo,arm_angle,release_x,release_z,hull_area_z,avg_nn_distance_z,fastball_relative_break_z,velocity_range_z,max_velo_z,release_x_z,release_z_z,arm_angle_z
424144,2020,óliver pérez,3,0.9541,hull,1.3167871185094697,1.6260418086305213,SI,False,13.89,89.94,,2.5256610169491527,5.373796610169491,-0.2011074176510569,0.6451392996711443,0.31327432360841806,0.6063370988056087,-1.5272749984126237,1.799425429639532,-0.7179699159518786,
425794,2020,adam wainwright,4,1.4633999999999998,hull,1.1621199903845765,1.8974232113265745,SI,False,15.810000000000002,89.37,,-1.2061800947867298,6.220872037914693,0.5670961857277786,0.2778703188647848,0.9910384138868041,1.2231630406862974,-1.753894314598456,-0.2084986215020767,0.8582097643320585,
425794,2021,adam wainwright,5,2.12385,hull,0.9241135336420958,1.5764995572061264,SI,False,15.61,89.09,,-1.1995900914184603,6.283524034208198,1.5632871730663849,-0.2872943017814233,0.18954455202710854,1.1589103384070583,-1.865216083952902,-0.20495285793281864,0.9747882888088086,
425794,2022,adam wainwright,5,2.18475,hull,0.9250651432685825,1.587314658010185,SI,False,15.64,88.54,,-1.124016114037806,6.304905484970561,1.6551458014696272,-0.28503463159886805,0.2165548293891922,1.1685482437489443,-2.083883845184847,-0.16429013884067006,1.014573421422484,
425794,2023,adam wainwright,4,1.6253000000000002,hull,1.1775471538638018,1.9334989510467928,SI,False,15.36999999999999,86.88,,-1.2491030432461292,6.2308916177255735,0.8112983522053632,0.31450330401449916,1.0811361164916449,1.0818070956719692,-2.7438629063576343,-0.2315933937544382,0.8768535091340196,
425844,2020,zack greinke,4,1.9444,hull,1.29625136936456,1.71709943121327,FF,False,17.5,88.2,,-1.1773623853211008,6.290519877675841,1.2926134314085562,0.5963755852996214,0.5406870575673128,1.7660983749458607,-2.2190602794009604,-0.19299319932510411,0.9878056730451781,
425844,2021,zack greinke,5,2.1356,hull,0.891697368795562,1.584355349717265,FF,False,18.33,89.5,,-1.2556501267656646,6.36017747193046,1.581010307446321,-0.36426897616228965,0.2091640764743712,2.0327470894046993,-1.7022092073981796,-0.23511606421925682,1.1174197322486747,
425844,2022,zack greinke,5,2.0941,hull,0.8383795631365254,1.5465603186785066,FF,False,17.230000000000004,89.15,,-1.6996584522265457,6.205399913532209,1.5184137051682496,-0.4908762027955633,0.1147725132554372,1.6793572268688903,-1.8413614190912342,-0.47401556955894497,0.8294202997062092,
425844,2023,zack greinke,6,2.6359000000000004,hull,0.7166921365378506,1.588466401502037,FF,False,17.25999999999999,89.8,,-1.3878245614035087,6.209320175438597,2.335638744066057,-0.779832348071341,0.219431262233279,1.6889951322107717,-1.5829358830898466,-0.30623276461165955,0.8367148533620599,
429722,2021,ervin santana,2,0.7548,bbox,1.2601587201618691,1.2601587201618691,FF,False,8.989999999999995,93.35,,-1.336500470366886,6.144938852304797,-0.501721943772011,0.5106708163032654,-0.6005039093161946,-0.9678541070357326,-0.17153487877455845,-0.2786177419700659,0.7169185164721965,
431148,2021,scott kazmir,3,0.3500000000000001,hull,0.8171863487983931,0.8911792883428935,FF,False,11.930000000000007,92.42,,0.8372946859903382,5.888985507246376,-1.1123027775590768,-0.5412011187899388,-1.5220151346757087,-0.023339383530925087,-0.5412821841303919,0.8909967850199353,0.24065814063334437,
433589,2020,yusmeiro petit,4,0.6826000000000001,hull,0.7739865167014137,1.016523901371971,FF,False,13.700000000000003,88.17,,-1.0723056994818654,5.680414507772021,-0.6106249482172336,-0.6437824397054714,-1.2089720271636681,0.545297031640333,-2.2309876118317944,-0.13646725411097185,-0.14743642627324888,
433589,2021,yusmeiro petit,4,0.7618499999999998,hull,0.7386672326444461,0.9558336736112477,FF,False,12.679999999999993,87.58,,-1.075351201478743,5.674232902033272,-0.4910880631440498,-0.7276507937356711,-1.360543419301781,0.21760825001621414,-2.46555848297152,-0.1381058921248196,-0.1589387329602433,
