player_name,pitcher,pitch_type,pitch_name,pitches,xwoba,swings,whiffs,called_strikes,hard_hits,chase_swings,outside_zone,balls_in_play,ground_balls,whiff_rate,csw_rate,chase_rate,hard_hit_rate,gb_rate,predicted_xwoba,raw_effectiveness_index,effectiveness_score,confidence_score,trusted_effectiveness,usage,effectiveness_residual
"Abbott, Andrew",671096,CH,Changeup,154,0.30703193542269713,146,23,3,28,67,72,123,51,0.15753424657534246,0.16883116883116883,0.9305555555555556,0.18181818181818182,0.4146341463414634,0.27071468991081254,-0.27071468991081254,75.23277467411546,42.19653179190752,60.67426615429328,0.25496688741721857,0.03631724551188459
"Abbott, Andrew",671096,FF,4-Seam Fastball,326,0.30247436148196,263,38,30,90,61,98,217,66,0.1444866920152091,0.2085889570552147,0.6224489795918368,0.27607361963190186,0.30414746543778803,0.32845566669572474,-0.32845566669572474,40.78212290502793,56.803455723542115,44.78403738874074,0.5397350993377483,-0.025981305213764738
"Abbott, Andrew",671096,ST,Sweeper,124,0.24791336671219355,112,28,7,25,36,42,83,23,0.25,0.28225806451612906,0.8571428571428571,0.20161290322580644,0.27710843373493976,0.268720284481792,-0.268720284481792,75.97765363128491,35.8974358974359,59.355154466886304,0.2052980132450331,-0.020806917769598476
"Abel, Mick",690953,FF,4-Seam Fastball,73,0.41837422101306737,56,9,3,19,10,24,44,9,0.16071428571428573,0.1643835616438356,0.4166666666666667,0.2602739726027397,0.20454545454545456,0.3617564722355343,-0.3617564722355343,18.34264432029795,21.875,43.111324487895715,1.0,0.05661774877753306
"Abreu, Bryan",650556,FF,4-Seam Fastball,129,0.29498886410758196,102,29,10,34,30,46,69,23,0.28431372549019607,0.3023255813953488,0.6521739130434783,0.26356589147286824,0.3333333333333333,0.2982410987061874,-0.2982410987061874,60.98696461824954,33.77483443708609,53.741660192139314,0.4463667820069204,-0.0032522345986054635
"Abreu, Bryan",650556,SL,Slider,160,0.27870937587719297,134,49,10,36,56,73,83,35,0.3656716417910448,0.36875,0.7671232876712328,0.225,0.42168674698795183,0.2535370916532242,-0.2535370916532242,83.70577281191807,40.119760479041915,63.55055252623246,0.5536332179930796,0.025172284223968777
"Adam, Jason",592094,CH,Changeup,101,0.2387251667796185,83,19,7,24,23,34,61,35,0.2289156626506024,0.25742574257425743,0.6764705882352942,0.2376237623762376,0.5737704918032787,0.2796156671972862,-0.2796156671972862,70.7635009310987,29.328621908127207,56.122549696981665,0.5611111111111111,-0.0408905004176677
"Adam, Jason",592094,SL,Slider,79,0.28538964379017157,66,14,9,18,12,17,51,19,0.21212121212121213,0.2911392405063291,0.7058823529411765,0.22784810126582278,0.37254901960784315,0.2818640644115907,-0.2818640644115907,69.27374301675978,24.81203007518797,54.81721062432618,0.4388888888888889,0.0035255793785808898
"Akin, Keegan",669211,CH,Changeup,75,0.2008053582905983,64,12,5,13,18,26,51,24,0.1875,0.22666666666666666,0.6923076923076923,0.17333333333333334,0.47058823529411764,0.2740311625190192,-0.2740311625190192,74.11545623836126,24.242424242424242,55.881440099317196,0.2819548872180451,-0.0732258042284209
"Akin, Keegan",669211,FF,4-Seam Fastball,119,0.4196850431581928,94,15,5,41,21,37,76,23,0.1595744680851064,0.16806722689075632,0.5675675675675675,0.3445378151260504,0.3026315789473684,0.363480029574951,-0.363480029574951,17.13221601489758,31.97278911564626,39.52292276314623,0.4473684210526316,0.056205013583241814
"Akin, Keegan",669211,SL,Slider,72,0.3273693365894268,63,11,3,19,19,25,48,21,0.1746031746031746,0.19444444444444445,0.76,0.2638888888888889,0.4375,0.3041732312550187,-0.3041732312550187,57.262569832402235,23.954372623574145,51.775106031961826,0.2706766917293233,0.02319610533440808
"Alcala, Jorge",660896,CU,Curveball,65,0.2752279884615385,56,11,5,12,16,21,44,20,0.19642857142857142,0.24615384615384617,0.7619047619047619,0.18461538461538463,0.45454545454545453,0.26737835810617905,-0.26737835810617905,77.1880819366853,21.875,55.983763966480446,0.37572254335260113,0.00784963035535946
"Alcala, Jorge",660896,FF,4-Seam Fastball,108,0.3265427652853776,85,18,6,30,20,36,67,10,0.21176470588235294,0.2222222222222222,0.5555555555555556,0.2777777777777778,0.14925373134328357,0.34450033878895703,-0.34450033878895703,28.957169459962756,29.82456140350877,43.75673821425071,0.6242774566473989,-0.017957573503579405
"Alcantara, Sandy",645261,CH,Changeup,174,0.280090202202918,154,28,5,38,54,70,126,73,0.18181818181818182,0.1896551724137931,0.7714285714285715,0.21839080459770116,0.5793650793650794,0.27957582942283615,-0.27957582942283615,70.94972067039106,43.50282485875706,59.14002251470294,0.23450134770889489,0.0005143727800818731
"Alcantara, Sandy",645261,FC,Cutter,101,0.3485223703837073,88,20,4,31,21,31,66,24,0.22727272727272727,0.2376237623762376,0.6774193548387096,0.3069306930693069,0.36363636363636365,0.32098134549158236,-0.32098134549158236,46.83426443202979,30.555555555555557,49.06502172563624,0.13611859838274934,0.027541024892124955
"Alcantara, Sandy",645261,FF,4-Seam Fastball,145,0.32079269723923787,114,24,15,52,22,38,86,34,0.21052631578947367,0.2689655172413793,0.5789473684210527,0.3586206896551724,0.3953488372093023,0.33636857864678943,-0.33636857864678943,35.567970204841714,36.30573248407643,44.78999869527571,0.1954177897574124,-0.015575881407551562
"Alcantara, Sandy",645261,SI,Sinker,215,0.3641883649865389,183,6,9,88,16,35,177,103,0.03278688524590164,0.06976744186046512,0.45714285714285713,0.40930232558139534,0.5819209039548022,0.39408225604049874,-0.39408225604049874,3.6312849162011176,47.78067885117493,27.869023829319637,0.28975741239892183,-0.029893891053959842
"Alcantara, Sandy",645261,SL,Slider,107,0.3492094525962324,95,16,9,32,29,34,79,28,0.16842105263157894,0.2336448598130841,0.8529411764705882,0.29906542056074764,0.35443037974683544,0.30306861508134614,-0.30306861508134614,57.91433891992551,32.20338983050847,52.580248082567934,0.14420485175202155,0.046140837514886235
"Alexander, Jason",669920,CH,Changeup,123,0.24893083957491657,115,42,0,25,51,59,70,23,0.3652173913043478,0.34146341463414637,0.864406779661017,0.2032520325203252,0.32857142857142857,0.25101825469662453,-0.25101825469662453,85.28864059590316,36.507936507936506,62.9127131920428,0.4606741573033708,-0.0020874151217079584
"Alexander, Jason",669920,SI,Sinker,144,0.3994153306476119,125,1,4,65,10,26,124,74,0.008,0.034722222222222224,0.38461538461538464,0.4513888888888889,0.5967741935483871,0.42048741431349357,-0.42048741431349357,0.4655493482309125,38.46153846153847,30.976937401518406,0.5393258426966292,-0.021072083665881647
"Alexander, Scott",518397,SI,Sinker,62,0.4707172548076586,52,3,1,27,5,14,49,26,0.057692307692307696,0.06451612903225806,0.35714285714285715,0.43548387096774194,0.5306122448979592,0.4168474912107346,-0.4168474912107346,0.6517690875232774,20.634920634920633,39.85398007744377,1.0,0.05386976359692397
"Alexander, Tyler",641302,CH,Changeup,74,0.3357153906882591,70,10,0,27,32,36,60,36,0.14285714285714285,0.13513513513513514,0.8888888888888888,0.36486486486486486,0.6,0.3223109445344735,-0.3223109445344735,45.2513966480447,25.925925925925924,48.80336574936203,0.20903954802259886,0.01340444615378561
"Alexander, Tyler",641302,FF,4-Seam Fastball,104,0.3296583352188542,85,13,11,35,17,23,68,15,0.15294117647058825,0.23076923076923078,0.7391304347826086,0.33653846153846156,0.22058823529411764,0.3364357909993969,-0.3364357909993969,35.47486033519553,29.82456140350877,45.7006109314254,0.2937853107344633,-0.006777455780542729
"Alexander, Tyler",641302,SI,Sinker,83,0.26431492958299363,68,6,10,18,10,16,61,20,0.08823529411764706,0.1927710843373494,0.625,0.21686746987951808,0.32786885245901637,0.3123849178665818,-0.3123849178665818,52.42085661080075,25.37313432835821,50.64898968842936,0.2344632768361582,-0.04806998828358816
"Alexander, Tyler",641302,ST,Sweeper,93,0.3292606618503172,85,9,5,23,20,22,75,20,0.10588235294117647,0.15053763440860216,0.9090909090909091,0.24731182795698925,0.26666666666666666,0.3079530224369992,-0.3079530224369992,55.121042830540034,29.82456140350877,51.559998693194814,0.2627118644067797,0.021307639413318036
"Allard, Kolby",663465,FF,4-Seam Fastball,103,0.25897022742090703,89,18,10,32,18,25,70,19,0.20224719101123595,0.27184466019417475,0.72,0.3106796116504854,0.2714285714285714,0.31733257477119015,-0.31733257477119015,49.25512104283054,30.79584775086505,49.802826158396314,1.0,-0.05836234735028312
"Allen, Logan",671106,CH,Changeup,155,0.3100440982718218,151,17,1,49,52,55,131,66,0.11258278145695365,0.11612903225806452,0.9454545454545454,0.3161290322580645,0.5038167938931297,0.3141316819205664,-0.3141316819205664,51.48975791433892,43.01994301994302,50.66742003427292,0.2528548123980424,-0.004087583648744619
"Allen, Logan",671106,FF,4-Seam Fastball,202,0.3449980070776803,167,23,9,60,27,52,139,51,0.1377245508982036,0.15841584158415842,0.5192307692307693,0.297029702970297,0.3669064748201439,0.3513017534021115,-0.3513017534021115,24.67411545623836,45.50408719346049,38.501057951379906,0.3295269168026101,-0.006303746324431203
"Allen, Logan",671106,SI,Sinker,95,0.33510095394447587,74,4,6,30,18,32,69,50,0.05405405405405406,0.10526315789473684,0.5625,0.3157894736842105,0.7246376811594203,0.3368068277728943,-0.3368068277728943,34.63687150837989,27.00729927007299,45.884815615272736,0.15497553017944535,-0.0017058738284184138
"Allen, Logan",671106,ST,Sweeper,161,0.2759969649380303,132,32,12,31,42,63,97,37,0.24242424242424243,0.2732919254658385,0.6666666666666666,0.19254658385093168,0.38144329896907214,0.27859739776777237,-0.27859739776777237,71.88081936685289,39.75903614457831,58.72764802225663,0.2626427406199021,-0.0026004328297420942
"Alvarado, Elvis",665660,FF,4-Seam Fastball,91,0.29884527897812296,67,23,6,16,22,41,42,14,0.34328358208955223,0.31868131868131866,0.5365853658536586,0.17582417582417584,0.3333333333333333,0.27981679673312554,-0.27981679673312554,70.57728119180634,25.0936329588015,55.19846002552676,1.0,0.019028482244997424
"Alvarado, José",621237,SI,Sinker,67,0.3859251656095469,57,4,6,29,4,8,53,24,0.07017543859649122,0.14925373134328357,0.5,0.43283582089552236,0.4528301886792453,0.38886151166834304,-0.38886151166834304,4.8417132216014895,22.17898832684825,40.020578368077445,1.0,-0.002936346058796113
"Anderson, Grant",681982,FF,4-Seam Fastball,90,0.2176986167869498,71,29,7,11,22,35,36,9,0.4084507042253521,0.4,0.6285714285714286,0.12222222222222222,0.25,0.24290846077725448,-0.24290846077725448,89.19925512104282,26.199261992619927,60.304273433795785,0.3225806451612903,-0.02520984399030468
"Anderson, Grant",681982,SI,Sinker,84,0.4196123870235456,72,1,2,33,7,16,69,38,0.013888888888888888,0.03571428571428571,0.4375,0.39285714285714285,0.5507246376811594,0.4013044148553569,-0.4013044148553569,2.60707635009311,26.47058823529412,37.48904589768868,0.3010752688172043,0.01830797216818869
"Anderson, Grant",681982,ST,Sweeper,105,0.2479447855086413,97,23,3,20,32,37,73,29,0.23711340206185566,0.24761904761904763,0.8648648648648649,0.19047619047619047,0.3972602739726027,0.2631623545066827,-0.2631623545066827,79.60893854748603,32.659932659932664,59.70160951538978,0.3763440860215054,-0.015217568998041386
"Anderson, Tyler",542881,CH,Changeup,213,0.30062225971602063,183,43,10,36,70,91,137,56,0.23497267759562843,0.24882629107981222,0.7692307692307693,0.16901408450704225,0.40875912408759124,0.2649954486877316,-0.2649954486877316,78.2122905027933,47.78067885117493,63.50433459262608,0.3817204301075269,0.03562681102828902
"Anderson, Tyler",542881,FC,Cutter,106,0.3280861340311547,100,7,1,29,23,28,92,26,0.07,0.07547169811320754,0.8214285714285714,0.27358490566037735,0.2826086956521739,0.3401643345206471,-0.3401643345206471,31.65735567970205,33.33333333333333,43.91682184978275,0.18996415770609318,-0.012078200489492374
"Anderson, Tyler",542881,FF,4-Seam Fastball,239,0.3823509401110123,201,16,12,80,37,63,183,40,0.07960199004975124,0.11715481171548117,0.5873015873015873,0.33472803347280333,0.2185792349726776,0.3767684906169618,-0.3767684906169618,9.683426443202979,50.12468827930174,29.814662598624484,0.4283154121863799,0.0055824494940504565
"Armstrong, Shawn",542888,FC,Cutter,70,0.3242699620270188,59,3,5,21,11,17,55,12,0.05084745762711865,0.11428571428571428,0.6470588235294118,0.3,0.21818181818181817,0.3612913396774799,-0.3612913396774799,18.6219739292365,22.779922779922778,42.88805964783618,0.3056768558951965,-0.037021377650461096
"Armstrong, Shawn",542888,FF,4-Seam Fastball,76,0.2708026072702944,62,24,5,16,17,27,34,11,0.3870967741935484,0.3815789473684211,0.6296296296296297,0.21052631578947367,0.3235294117647059,0.2674577628367988,-0.2674577628367988,77.09497206703911,23.66412213740458,56.447325401225356,0.3318777292576419,0.0033448444334956418
"Armstrong, Shawn",542888,SI,Sinker,83,0.29522754272149326,61,3,14,20,11,22,57,33,0.04918032786885246,0.20481927710843373,0.5,0.24096385542168675,0.5789473684210527,0.30945922062363107,-0.30945922062363107,54.18994413407822,23.371647509578544,51.01493325342295,0.3624454148471616,-0.014231677902137807
"Ashby, Aaron",676879,CU,Curveball,63,0.231232894993895,43,18,11,7,19,29,24,14,0.4186046511627907,0.4603174603174603,0.6551724137931034,0.1111111111111111,0.5833333333333334,0.19728699708502823,-0.19728699708502823,98.4171322160149,17.695473251028808,58.60595749898461,0.3014354066985646,0.03394589790886676
"Ashby, Aaron",676879,SI,Sinker,146,0.32139479715545216,116,9,12,52,25,42,106,65,0.07758620689655173,0.14383561643835616,0.5952380952380952,0.3561643835616438,0.6132075471698113,0.3454999238462736,-0.3454999238462736,27.467411545623836,36.708860759493675,41.75800862739552,0.6985645933014354,-0.024105126690821432
"Ashcraft, Braxton",677952,FF,4-Seam Fastball,72,0.3736567906999134,63,10,1,25,9,16,52,21,0.15873015873015872,0.1527777777777778,0.5625,0.3472222222222222,0.40384615384615385,0.3603539909860592,-0.3603539909860592,19.366852886405958,23.954372623574145,42.69742478634295,0.39344262295081966,0.01330279971385423
"Ashcraft, Braxton",677952,SL,Slider,111,0.25638672854997857,97,24,5,22,28,37,72,36,0.24742268041237114,0.26126126126126126,0.7567567567567568,0.1981981981981982,0.5,0.2649320737018583,-0.2649320737018583,78.30540037243948,32.659932659932664,59.275874825223056,0.6065573770491803,-0.008545345151879713
"Ashcraft, Graham",668933,FC,Cutter,159,0.37762606406966487,133,13,3,43,29,51,119,66,0.09774436090225563,0.10062893081761007,0.5686274509803921,0.27044025157232704,0.5546218487394958,0.3370673272027321,-0.3370673272027321,34.357541899441344,39.93993993993994,43.78037255132227,0.5719424460431655,0.04055873686693279
"Ashcraft, Graham",668933,SL,Slider,119,0.17323285628097393,109,36,8,20,46,48,70,41,0.3302752293577982,0.3697478991596639,0.9583333333333334,0.16806722689075632,0.5857142857142857,0.20488283371470972,-0.20488283371470972,97.11359404096834,35.275080906148865,66.64949105964456,0.42805755395683454,-0.03164997743373579
"Assad, Javier",665871,SI,Sinker,67,0.30560980597014925,54,6,4,17,7,16,47,25,0.1111111111111111,0.14925373134328357,0.4375,0.2537313432835821,0.5319148936170213,0.3356759449791189,-0.3356759449791189,35.754189944134076,21.25984251968504,47.00802064546401,1.0,-0.03006613900896965
"Bachar, Lake",669199,FF,4-Seam Fastball,117,0.38869782989939233,91,18,7,38,18,36,70,16,0.1978021978021978,0.21367521367521367,0.5,0.3247863247863248,0.22857142857142856,0.3596486990162083,-0.3596486990162083,19.646182495344505,31.27147766323024,40.53990925787274,0.45348837209302323,0.02904913088318406
"Bachar, Lake",669199,SL,Slider,67,0.28832184093656016,58,12,4,16,20,27,46,27,0.20689655172413793,0.23880597014925373,0.7407407407407407,0.23880597014925373,0.5869565217391305,0.27687275369536113,-0.27687275369536113,72.90502793296089,22.48062015503876,55.185281422776555,0.2596899224806202,0.01144908724119903
"Bachar, Lake",669199,ST,Sweeper,74,0.3291246020386399,62,12,7,19,23,28,50,18,0.1935483870967742,0.25675675675675674,0.8214285714285714,0.25675675675675674,0.36,0.2879141321142502,-0.2879141321142502,66.29422718808193,23.66412213740458,53.89142394131946,0.2868217054263566,0.0412104699243897
"Backhus, Kyle",679775,SI,Sinker,74,0.31119680343980344,59,4,7,22,8,16,52,25,0.06779661016949153,0.14864864864864866,0.5,0.2972972972972973,0.4807692307692308,0.3466043845575483,-0.3466043845575483,26.722532588454378,22.779922779922778,44.73336065514836,1.0,-0.035407581117744835
"Baker, Bryan",641329,CH,Changeup,79,0.19713362171183627,75,27,4,11,22,23,46,16,0.36,0.3924050632911392,0.9565217391304348,0.13924050632911392,0.34782608695652173,0.20991295370928612,-0.20991295370928612,96.36871508379889,27.27272727272727,62.67987133908922,0.2893772893772894,-0.01277933199744985
"Baker, Bryan",641329,FF,4-Seam Fastball,126,0.35750364858055955,108,28,6,47,30,42,75,25,0.25925925925925924,0.2698412698412698,0.7142857142857143,0.373015873015873,0.3333333333333333,0.33201460809684674,-0.33201460809684674,38.64059590316574,35.064935064935064,46.04706280683935,0.46153846153846156,0.02548904048371281
"Baker, Bryan",641329,SL,Slider,68,0.3565173817081831,58,5,5,26,15,21,52,26,0.08620689655172414,0.14705882352941177,0.7142857142857143,0.38235294117647056,0.5,0.3497013649270548,-0.3497013649270548,25.605214152700185,22.48062015503876,44.551989952795466,0.2490842490842491,0.006816016781128309
"Banda, Anthony",607455,FF,4-Seam Fastball,76,0.38805800608424745,62,12,4,26,8,16,50,14,0.1935483870967742,0.21052631578947367,0.5,0.34210526315789475,0.28,0.3614914526465474,-0.3614914526465474,18.528864059590315,23.66412213740458,42.588170071218386,0.2814814814814815,0.026566553437700036
"Banda, Anthony",607455,SI,Sinker,70,0.3141967581453634,54,0,6,18,6,16,53,27,0.0,0.08571428571428572,0.375,0.2571428571428571,0.5094339622641509,0.3590145287208677,-0.3590145287208677,20.11173184357542,21.25984251968504,43.68245868707752,0.25925925925925924,-0.04481777057550429
