player_id,player_name,season,CH_usage_pct,CS_usage_pct,CU_usage_pct,EP_usage_pct,FA_usage_pct,FC_usage_pct,FF_usage_pct,FO_usage_pct,FS_usage_pct,KC_usage_pct,KN_usage_pct,PO_usage_pct,SC_usage_pct,SI_usage_pct,SL_usage_pct,ST_usage_pct,SV_usage_pct,UN_usage_pct,CH_avg_speed,CS_avg_speed,CU_avg_speed,EP_avg_speed,FA_avg_speed,FC_avg_speed,FF_avg_speed,FO_avg_speed,FS_avg_speed,KC_avg_speed,KN_avg_speed,PO_avg_speed,SC_avg_speed,SI_avg_speed,SL_avg_speed,ST_avg_speed,SV_avg_speed,UN_avg_speed,CH_avg_spin,CS_avg_spin,CU_avg_spin,EP_avg_spin,FA_avg_spin,FC_avg_spin,FF_avg_spin,FO_avg_spin,FS_avg_spin,KC_avg_spin,KN_avg_spin,PO_avg_spin,SC_avg_spin,SI_avg_spin,SL_avg_spin,ST_avg_spin,SV_avg_spin,UN_avg_spin,CH_whiff_rate,CS_whiff_rate,CU_whiff_rate,EP_whiff_rate,FA_whiff_rate,FC_whiff_rate,FF_whiff_rate,FO_whiff_rate,FS_whiff_rate,KC_whiff_rate,KN_whiff_rate,PO_whiff_rate,SC_whiff_rate,SI_whiff_rate,SL_whiff_rate,ST_whiff_rate,SV_whiff_rate,UN_whiff_rate,CH_avg_pfx_x,CS_avg_pfx_x,CU_avg_pfx_x,EP_avg_pfx_x,FA_avg_pfx_x,FC_avg_pfx_x,FF_avg_pfx_x,FO_avg_pfx_x,FS_avg_pfx_x,KC_avg_pfx_x,KN_avg_pfx_x,PO_avg_pfx_x,SC_avg_pfx_x,SI_avg_pfx_x,SL_avg_pfx_x,ST_avg_pfx_x,SV_avg_pfx_x,UN_avg_pfx_x,CH_avg_pfx_z,CS_avg_pfx_z,CU_avg_pfx_z,EP_avg_pfx_z,FA_avg_pfx_z,FC_avg_pfx_z,FF_avg_pfx_z,FO_avg_pfx_z,FS_avg_pfx_z,KC_avg_pfx_z,KN_avg_pfx_z,PO_avg_pfx_z,SC_avg_pfx_z,SI_avg_pfx_z,SL_avg_pfx_z,ST_avg_pfx_z,SV_avg_pfx_z,UN_avg_pfx_z
431148,scott kazmir,2021,30.92,,,,,,54.11,,,,,,,0.48,14.49,,,,80.49,,,,,,92.42,,,,,,,92.8,87.14,,,,1482.0,,,,,,2155.0,,,,,,,1770.0,1946.0,,,,0.2432,,,,,,0.0541,,,,,,,,0.2381,,,,1.12,,,,,,0.93,,,,,,,1.44,0.1,,,,0.66,,,,,,1.35,,,,,,,1.18,0.68,,,
433589,yusmeiro petit,2020,18.28,,10.75,,,27.69,43.28,,,,,,,,,,,,81.34,,74.47,,,84.49,88.17,,,,,,,,,,,,1757.0,,2003.0,,,2129.0,2134.0,,,,,,,,,,,,0.2222,,0.2308,,,0.2667,0.0826,,,,,,,,,,,,-0.85,,1.04,,,0.01,-0.41,,,,,,,,,,,,1.24,,-0.06,,,1.28,1.46,,,,,,,,,,,
433589,yusmeiro petit,2021,17.65,,13.59,,,22.83,45.84,,,,,0.09,,,,,,,80.82,,74.9,,,84.47,87.58,,,,,84.3,,,,,,,1751.0,,2018.0,,,2136.0,2136.0,,,,,2056.0,,,,,,,0.2263,,0.2772,,,0.1754,0.0717,,,,,,,,,,,,-0.95,,0.81,,,-0.09,-0.42,,,,,-0.35,,,,,,,1.24,,-0.0,,,1.43,1.5,,,,,1.6,,,,,,
434378,justin verlander,2022,2.23,,18.76,,,,50.77,,,,,,,0.03,28.21,,,,86.22,,79.14,,,,95.07,,,,,,,94.6,87.49,,,,1757.0,,2651.0,,,,2422.0,,,,,,,2325.0,2461.0,,,,0.25,,0.1447,,,,0.1255,,,,,,,0.0,0.2713,,,,-1.3,,0.58,,,,-0.79,,,,,,,-1.2,0.35,,,,0.87,,-0.94,,,,1.61,,,,,,,1.29,0.39,,,
434378,justin verlander,2023,4.53,,19.38,,,,50.16,,,,,,,,25.92,,,,85.11,,78.22,,,,94.22,,,,,,,,86.88,,,,1828.0,,2713.0,,,,2429.0,,,,,,,,2509.0,,,,0.1972,,0.1549,,,,0.1154,,,,,,,,0.2194,,,,-1.28,,0.59,,,,-0.67,,,,,,,,0.37,,,,0.76,,-1.1,,,,1.57,,,,,,,,0.33,,,
434378,justin verlander,2024,10.13,,21.9,,,,48.54,,,,,,,0.13,19.3,,,,84.0,,77.62,,,,93.47,,,,,,,91.2,86.7,,,,1779.0,,2685.0,,,,2395.0,,,,,,,2444.0,2442.0,,,,0.2121,,0.1208,,,,0.1276,,,,,,,,0.1634,,,,-1.12,,0.6,,,,-0.72,,,,,,,-1.0,0.33,,,,0.81,,-1.12,,,,1.61,,,,,,,1.44,0.49,,,
434378,justin verlander,2025,8.55,,14.29,,,,45.81,,,,,,,0.41,22.97,7.97,,,84.57,,78.44,,,,93.88,,,,,,,93.05,87.13,80.51,,,1714.0,,2739.0,,,,2426.0,,,,,,,2433.0,2491.0,2656.0,,,0.2192,,0.1455,,,,0.1063,,,,,,,0.3333,0.2615,0.1786,,,-1.08,,0.62,,,,-0.74,,,,,,,-0.98,0.33,0.97,,,0.76,,-1.02,,,,1.54,,,,,,,1.32,0.46,-0.14,,
434671,aníbal sánchez,2020,6.49,,6.18,,,23.07,26.78,,29.15,,,,,7.93,0.41,,,,69.58,,76.33,,,87.49,89.3,,81.81,,,,,89.57,83.53,,,,1261.0,,2027.0,,,2184.0,2147.0,,1544.0,,,,,2078.0,2297.0,,,,0.2308,,0.15,,,0.1203,0.0893,,0.3068,,,,,0.0698,0.0,,,,-0.79,,0.33,,,0.01,-0.47,,-1.16,,,,,-1.05,0.57,,,,0.55,,-0.16,,,1.06,1.43,,0.56,,,,,1.23,0.37,,,
434671,aníbal sánchez,2022,25.57,,5.6,,,27.27,17.45,,,,,,,18.43,5.68,,,,79.89,,75.44,,,87.25,89.81,,,,,,,89.12,83.02,,,,1470.0,,1953.0,,,2095.0,2063.0,,,,,,,1921.0,2179.0,,,,0.2239,,0.0278,,,0.1378,0.0756,,,,,,,0.0476,0.2703,,,,-1.12,,0.25,,,0.03,-0.33,,,,,,,-1.04,0.43,,,,0.7,,-0.24,,,1.02,1.39,,,,,,,1.11,0.36,,,
444468,héctor rondón,2020,3.59,,,,,,48.97,,,,,,,10.51,36.92,,,,88.33,,,,,,95.66,,,,,,,95.34,85.39,,,,1719.0,,,,,,2044.0,,,,,,,1989.0,2290.0,,,,0.2,,,,,,0.0692,,,,,,,0.1364,0.25,,,,-1.26,,,,,,-0.67,,,,,,,-1.3,0.48,,,,0.46,,,,,,1.27,,,,,,,0.95,-0.02,,,
