player_name,raw_tunneling_score,num_pairs,confidence,trusted_tunneling_score,tunneling_score
"Abbott, Andrew",-0.08585582934592291,3,0.3,-0.02575674880377687,12.048192771084338
"Abreu, Bryan",0.17219562190660276,1,0.1,0.017219562190660277,79.51807228915662
"Adam, Jason",-0.1139660179957522,1,0.1,-0.011396601799575221,24.497991967871485
"Akin, Keegan",-0.03136994465174433,1,0.1,-0.003136994465174433,38.95582329317269
"Alcantara, Sandy",-0.06182282474798742,10,1.0,-0.06182282474798742,3.614457831325301
"Alexander, Jason",0.03271655240169711,1,0.1,0.003271655240169711,52.208835341365464
"Alexander, Tyler",0.039635433319129235,3,0.3,0.01189062999573877,69.47791164658635
"Allen, Logan",-0.016320769698880227,6,0.6,-0.009792461819328135,26.506024096385545
"Anderson, Grant",0.14476653250574106,3,0.3,0.04342995975172232,95.98393574297188
"Anderson, Tyler",-0.005602863926030374,3,0.3,-0.0016808591778091123,41.76706827309237
"Armstrong, Shawn",-0.23609145722009423,1,0.1,-0.023609145722009423,12.851405622489958
"Ashcraft, Graham",0.020859314903531354,1,0.1,0.0020859314903531353,49.79919678714859
"Baker, Bryan",0.0900262485628505,1,0.1,0.00900262485628505,64.2570281124498
"Banda, Anthony",0.13277486168424077,1,0.1,0.013277486168424078,72.28915662650603
"Bassitt, Chris",0.18688221166514873,3,0.3,0.05606466349954462,97.59036144578313
"Baz, Shane",0.03682624435136602,6,0.6,0.022095746610819613,84.73895582329317
"Bazardo, Eduard",0.3221491185045065,1,0.1,0.03221491185045065,91.16465863453816
"Beeks, Jalen",-0.025886998882103922,1,0.1,-0.0025886998882103922,40.562248995983936
"Bello, Brayan",-0.06948759813851535,10,1.0,-0.06948759813851535,2.0080321285140563
"Bellozo, Valente",-0.139092902006486,1,0.1,-0.0139092902006486,20.883534136546185
"Bergert, Ryan",-0.04401639614307121,1,0.1,-0.0044016396143071205,36.54618473895582
"Berríos, José",-0.007884983508351444,6,0.6,-0.004730990105010866,35.34136546184739
"Bibee, Tanner",-0.022947836178030447,10,1.0,-0.022947836178030447,13.654618473895583
"Bido, Osvaldo",0.068588004888415,1,0.1,0.0068588004888415,59.83935742971887
