player_name,n_pitch_types,velocity_range,max_velo,min_velo,raw_velocity_index,velocity_score,confidence_score,trusted_velocity_score
"Ohtani, Shohei",7,19.972400000000007,98.3418,78.3694,2.197648641217355,100.0,100.0,100.0
"Darvish, Yu",7,22.8035,93.8874,71.0839,1.9756498988999054,99.58448753462605,100.0,99.58448753462605
"Dollander, Chase",5,18.7487,97.9516,79.2029,1.9420601290233985,99.44598337950139,100.0,99.44598337950139
"Fried, Max",6,20.64110000000001,95.9,75.2589,1.9342331244701403,99.30747922437672,100.0,99.30747922437672
"Pérez, Eury",5,18.02340000000001,97.8935,79.8701,1.8168614679504036,99.03047091412742,100.0,99.03047091412742
"Rocker, Kumar",6,18.304199999999994,95.8211,77.5169,1.5472874312187819,98.75346260387812,100.0,98.75346260387812
"deGrom, Jacob",4,16.608199999999997,97.4999,80.8917,1.5300296482432223,98.61495844875347,100.0,98.61495844875347
"Yamamoto, Yoshinobu",5,18.4508,95.4432,76.9924,1.5134377100982004,98.47645429362882,100.0,98.47645429362882
"Duran, Jhoan",4,13.265199999999993,100.5667,87.3015,1.4592273968520297,98.19944598337949,100.0,98.19944598337949
"Sheehan, Emmet",4,17.730000000000004,95.6927,77.9627,1.4356606341818703,97.78393351800554,100.0,97.78393351800554
"Cecconi, Slade",5,18.851,94.3678,75.5168,1.414385581005631,97.64542936288089,100.0,97.64542936288089
"Oviedo, Johan",4,17.751900000000006,95.4919,77.74,1.4086893335652342,97.50692520775624,100.0,97.50692520775624
"Boyd, Matthew",4,19.753699999999995,93.2846,73.5309,1.3947778753240685,97.36842105263158,100.0,97.36842105263158
"Schwellenbach, Spencer",6,16.0488,97.0894,81.0406,1.377949432186375,97.22991689750693,100.0,97.22991689750693
"Cleavinger, Garrett",4,15.927800000000005,97.12,81.1922,1.3631800460795311,97.09141274238226,100.0,97.09141274238226
"Burrows, Mike",5,17.2427,95.7126,78.4699,1.3604921364285694,96.95290858725761,100.0,96.95290858725761
"Schlittler, Cam",4,14.800899999999999,98.0543,83.2534,1.3242078965314856,96.81440443213296,100.0,96.81440443213296
"Ashby, Aaron",4,15.200099999999992,97.5646,82.3645,1.3139157264673436,96.67590027700831,100.0,96.67590027700831
"Hernández, Carlos",4,15.045600000000007,97.7091,82.6635,1.31106328865711,96.53739612188366,100.0,96.53739612188366
"Leiter, Jack",5,15.367999999999995,97.2991,81.9311,1.3005481562915833,96.26038781163435,100.0,96.26038781163435
"Stanek, Ryne",4,14.107200000000006,98.5501,84.4429,1.2881721802353987,95.98337950138504,100.0,95.98337950138504
"Eovaldi, Nathan",5,18.280900000000003,94.1157,75.8348,1.2846366335371615,95.84487534626038,100.0,95.84487534626038
"Morgan, David",4,14.689399999999992,97.8684,83.179,1.2780940094501148,95.70637119113573,100.0,95.70637119113573
"Dobbins, Hunter",5,16.877300000000005,95.5353,78.658,1.2749443815324766,95.56786703601108,100.0,95.56786703601108
"Hicks, Jordan",5,14.964500000000001,97.5049,82.5404,1.2670489435279202,95.42936288088643,100.0,95.42936288088643
"Flexen, Chris",4,19.583399999999997,92.426,72.8426,1.2371005664403425,95.29085872576178,100.0,95.29085872576178
"Bassitt, Chris",5,20.3069,91.6103,71.3034,1.229350928096713,95.15235457063712,100.0,95.15235457063712
"Richardson, Lyon",4,16.459699999999998,95.6659,79.2062,1.2277659618888177,95.01385041551247,100.0,95.01385041551247
"Morales, Luis",4,14.935200000000009,97.2343,82.2991,1.2212653802541944,94.87534626038781,100.0,94.87534626038781
"Chapman, Aroldis",4,12.745500000000007,99.4103,86.6648,1.2002754174759505,94.45983379501385,100.0,94.45983379501385
"Pallante, Andre",4,16.778499999999994,94.9722,78.1937,1.1736021289686684,93.90581717451524,100.0,93.90581717451524
"Skenes, Paul",6,13.735500000000002,98.1877,84.4522,1.173511854144653,93.76731301939058,100.0,93.76731301939058
"Adam, Jason",4,17.076800000000006,94.5931,77.5163,1.1639112407830712,93.35180055401662,100.0,93.35180055401662
"McLean, Nolan",6,15.825000000000003,95.7959,79.9709,1.1456616813561955,93.21329639889197,100.0,93.21329639889197
"Young, Brandon",5,17.637299999999996,93.7535,76.1162,1.1263789705785425,93.07479224376732,100.0,93.07479224376732
"Casparius, Ben",4,15.365099999999998,96.1473,80.7822,1.1252176622431256,92.93628808864266,100.0,92.93628808864266
"Misiorowski, Jacob",4,12.156800000000004,99.453,87.2962,1.1122982620773842,92.797783933518,100.0,92.797783933518
"Francis, Bowden",4,18.7324,92.4693,73.7369,1.10712716930338,92.65927977839335,100.0,92.65927977839335
"Jobe, Jackson",5,14.902899999999988,96.4754,81.5725,1.1008672130254937,92.5207756232687,100.0,92.5207756232687
"Nelson, Ryne",4,15.647599999999997,95.6755,80.0279,1.0989179604967478,92.24376731301939,100.0,92.24376731301939
"Wacha, Michael",6,18.027900000000002,93.1541,75.1262,1.0980523388422831,92.10526315789474,100.0,92.10526315789474
"Cabrera, Génesis",5,15.5565,95.6896,80.1331,1.0864411631464161,91.96675900277008,100.0,91.96675900277008
"Burnes, Corbin",5,15.5809,95.6144,80.0335,1.0789394718090919,91.82825484764543,100.0,91.82825484764543
"Bowlan, Jonathan",5,15.104500000000002,96.1016,80.9971,1.0764649721884691,91.55124653739612,100.0,91.55124653739612
"Williams, Gavin",5,14.585000000000008,96.5892,82.0042,1.067135591876582,91.41274238227147,100.0,91.41274238227147
"Englert, Mason",5,17.041600000000003,93.9203,76.8787,1.0561193738765067,91.13573407202216,100.0,91.13573407202216
"Wheeler, Zack",6,14.929999999999993,96.0744,81.1444,1.0443361055675524,90.85872576177285,100.0,90.85872576177285
"Keller, Mitch",6,16.669799999999995,94.0941,77.4243,1.0228483735983087,90.58171745152355,100.0,90.58171745152355
"Wrobleski, Justin",5,14.73729999999999,96.1184,81.3811,1.0200964747933918,90.4432132963989,100.0,90.4432132963989
"Zeferjahn, Ryan",4,13.480800000000002,97.367,83.8862,1.008046089313379,90.30470914127424,100.0,90.30470914127424
"Birdsong, Hayden",4,15.201800000000006,95.5108,80.309,1.0023825476405746,90.02770083102493,100.0,90.02770083102493
"Scherzer, Max",4,16.849000000000004,93.6923,76.8433,0.9906010086725514,89.88919667590028,100.0,89.88919667590028
"Buehler, Walker",7,16.55510000000001,93.9877,77.4326,0.9882906446649782,89.61218836565097,100.0,89.61218836565097
"Liberatore, Matthew",6,16.53880000000001,93.9851,77.4463,0.9852804994796814,89.47368421052632,100.0,89.47368421052632
"Bradley, Taj",5,14.416299999999993,96.2136,81.7973,0.9830436090866398,89.33518005540166,100.0,89.33518005540166
"Bivens, Spencer",6,15.346100000000007,95.2099,79.8638,0.979853846512669,89.05817174515236,100.0,89.05817174515236
"Megill, Tylor",5,15.0347,95.4335,80.3988,0.9638349135470164,88.9196675900277,100.0,88.9196675900277
"Ragans, Cole",4,15.174099999999996,95.2618,80.0877,0.9601350036324632,88.64265927977839,100.0,88.64265927977839
"Kelly, Zack",5,14.313100000000006,96.1222,81.8091,0.9526083977262634,88.36565096952909,100.0,88.36565096952909
"Soriano, José",5,12.644299999999987,97.8808,85.2365,0.9518301490663548,88.22714681440443,100.0,88.22714681440443
"Glasnow, Tyler",4,14.187400000000011,96.1487,81.9613,0.9364624152786181,87.67313019390582,100.0,87.67313019390582
"Latz, Jacob",4,15.962400000000002,94.2366,78.2742,0.9309767563097539,87.53462603878116,100.0,87.53462603878116
"Detmers, Reid",3,22.247,95.837,73.59,2.18234312756442,99.86149584487535,75.0,87.4134349030471
"Helsley, Ryan",3,18.570300000000003,99.3142,80.7439,2.1203035952307783,99.7229916897507,75.0,87.30955678670361
"Abel, Mick",5,13.779899999999998,96.4416,82.6617,0.9155448214368465,87.25761772853186,100.0,87.25761772853186
"Peralta, Freddy",4,15.323799999999991,94.7593,79.4355,0.907866039991706,86.98060941828255,100.0,86.98060941828255
"Bednar, David",3,19.393500000000003,97.0677,77.6742,1.9113286273909225,99.16897506925207,75.0,86.89404432132964
"Alcantara, Sandy",5,12.473199999999991,97.7362,85.263,0.9024232735256701,86.8421052631579,100.0,86.8421052631579
"Ogasawara, Shinnosuke",4,18.755199999999988,91.0893,72.3341,0.9012752616438502,86.70360110803324,100.0,86.70360110803324
"Erceg, Lucas",4,12.571299999999994,97.5713,85.0,0.8931289437089223,86.28808864265928,100.0,86.28808864265928
"Smith-Shawver, AJ",3,18.291700000000006,95.5973,77.3056,1.5113046423426997,98.33795013850416,75.0,86.2707756232687
"Koenig, Jared",4,14.173100000000005,95.8632,81.6901,0.8908235724890637,86.14958448753463,100.0,86.14958448753463
"Leiter Jr., Mark",3,19.68929999999999,93.7464,74.0571,1.4545546110438605,98.06094182825484,75.0,86.06301939058172
"Harris, Hogan",3,19.9028,93.4501,73.5473,1.4438277599995073,97.92243767313019,75.0,85.95914127423823
"Crochet, Garrett",4,13.650099999999995,96.4084,82.7583,0.8896773767803455,85.87257617728532,100.0,85.87257617728532
"Soto, Gregory",4,12.9024,97.1639,84.2615,0.8844044989150801,85.73407202216067,100.0,85.73407202216067
"Mikolas, Miles",5,16.833600000000004,92.9748,76.1412,0.8791998384996734,85.45706371191135,100.0,85.45706371191135
"Thielbar, Caleb",4,16.809399999999997,92.9335,76.1241,0.8690467022193686,85.0415512465374,100.0,85.0415512465374
"Trivino III, Lou",5,14.699300000000008,95.1581,80.4588,0.8682073589249397,84.90304709141274,100.0,84.90304709141274
"Strider, Spencer",3,17.0783,95.5038,78.4255,1.302413526432674,96.39889196675901,75.0,84.81648199445983
"Cabrera, Edward",5,12.946699999999993,96.964,84.0173,0.8611640262990862,84.62603878116343,100.0,84.62603878116343
"O'Brien, Riley",3,14.656099999999995,98.0238,83.3677,1.2963435390559515,96.1218836565097,75.0,84.60872576177286
"Snell, Blake",4,14.4525,95.3417,80.8892,0.8564810539213985,84.48753462603878,100.0,84.48753462603878
"Shugart, Chase",4,14.414000000000001,95.3562,80.9422,0.8525049145144256,84.34903047091413,100.0,84.34903047091413
"Kikuchi, Yusei",4,14.908200000000008,94.8258,79.9176,0.8512769295361753,84.21052631578947,100.0,84.21052631578947
"Walker, Taijuan",6,17.3258,92.2318,74.906,0.8453742149025365,84.07202216066482,100.0,84.07202216066482
"Long, Sam",5,16.412599999999998,93.1729,76.7603,0.8417236574881294,83.93351800554017,100.0,83.93351800554017
"Senzatela, Antonio",4,14.623999999999995,95.0175,80.3935,0.8347793436891551,83.79501385041551,100.0,83.79501385041551
"Matthews, Zebby",5,13.408000000000001,96.2465,82.8385,0.8262517303908441,83.65650969529086,100.0,83.65650969529086
"Kranick, Max",3,16.465599999999995,95.5799,79.1143,1.215656208318549,94.73684210526315,75.0,83.56994459833795
"Brown, Hunter",5,13.064899999999994,96.5777,83.5128,0.8214821046540917,83.5180055401662,100.0,83.5180055401662
"Estrada, Jeremiah",3,14.247699999999995,97.8663,83.6186,1.2069022384140193,94.5983379501385,75.0,83.46606648199446
"Taylor, Grant",3,13.432199999999995,98.6678,85.2356,1.1977341910123762,94.3213296398892,75.0,83.25831024930748
"Cease, Dylan",3,14.851199999999992,97.1462,82.295,1.1944119067623598,94.18282548476455,75.0,83.154432132964
"Ashcraft, Braxton",4,12.632999999999996,96.9593,84.3263,0.8101157592415014,83.10249307479224,100.0,83.10249307479224
"Murphy, Chris",3,17.51899999999999,94.3162,76.7972,1.192825726062145,94.04432132963989,75.0,83.0505540166205
"Javier, Cristian",5,16.4927,92.8711,76.3784,0.8087571114846867,82.96398891966759,100.0,82.96398891966759
"Strowd, Kade",5,13.242999999999995,96.271,83.028,0.8034962303535228,82.82548476454294,100.0,82.82548476454294
"Holderman, Colin",3,14.477899999999991,97.3967,82.9188,1.1725447447230166,93.62880886426593,75.0,82.73891966759004
"Verlander, Justin",5,15.4512,93.9213,78.4701,0.8010836417760742,82.68698060941828,100.0,82.68698060941828
"Martinez, Justin",3,11.999399999999994,99.9831,87.9837,1.1675219282196128,93.49030470914127,75.0,82.63504155124654
"Allard, Kolby",5,18.530900000000003,90.5907,72.0598,0.789588241288186,82.54847645429363,100.0,82.54847645429363
"Senga, Kodai",5,14.633799999999994,94.6784,80.0446,0.7848699644244904,82.40997229916897,100.0,82.40997229916897
"Paddack, Chris",5,15.509699999999995,93.6719,78.1622,0.772606586768031,82.27146814404432,100.0,82.27146814404432
"Alcala, Jorge",4,11.971800000000002,97.3572,85.3854,0.7644317444010998,81.99445983379502,100.0,81.99445983379502
"Nicolas, Kyle",3,13.817599999999999,97.61,83.7924,1.0989793438438373,92.38227146814404,75.0,81.80401662049861
"Gilbert, Logan",4,13.809000000000012,95.4107,81.6017,0.7637038081618748,81.7174515235457,100.0,81.7174515235457
"Burke, Sean",4,14.714299999999994,94.4429,79.7286,0.76203320300736,81.57894736842105,100.0,81.57894736842105
"Olson, Reese",5,14.737400000000008,94.4171,79.6797,0.7618227810018686,81.4404432132964,100.0,81.4404432132964
"Smith, Shane",5,13.546999999999997,95.6563,82.1093,0.7589513686492309,81.30193905817174,100.0,81.30193905817174
"Sasaki, Roki",3,14.65679999999999,96.5846,81.9278,1.077957889624607,91.68975069252078,75.0,81.28462603878117
