player_name,season,pitcher_effectiveness,pitcher_command,trusted_velocity_score,trusted_movement_score,trusted_tunneling_score,raw_tunneling_score,pitcher_effectiveness_contribution,pitcher_command_contribution,trusted_velocity_score_contribution,trusted_movement_score_contribution,paom_score,paom_confidence,effectiveness_confidence,movement_confidence,command_confidence,velocity_confidence
"Nola, Aaron",2020,100.0,91.38755980861244,64.5933014354067,88.03827751196172,,,71.1837105183389,12.053464752947805,4.2132133240638,8.015196450929933,95.46558504628044,28.457463953413416,28.457463953413416,100.0,94.6486643437863,100.0
"deGrom, Jacob",2020,99.52153110047847,96.65071770334929,77.51196172248804,34.44976076555024,,,70.8431186019832,12.747643351285115,5.0558559888765595,3.1363812199291043,91.78299916207399,30.679885845665943,30.679885845665943,75.0,93.7391304347826,75.0
"Kershaw, Clayton",2020,95.69377990430623,82.77511961722487,61.24401913875598,59.80861244019139,,,68.1183832711377,10.917536137486755,3.9947504109641954,5.44510628459914,88.47577610418779,35.24705205199642,35.24705205199642,75.0,96.13095238095238,75.0
"Ryu, Hyun Jin",2020,97.1291866028708,85.16746411483254,42.10526315789473,51.196172248803826,,,69.14015902020475,11.233071864003715,2.7463909075378843,4.661010979616863,87.78063277136322,27.029039463886825,27.029039463886825,100.0,83.47673733804476,100.0
"Hendriks, Liam",2020,94.73684210526315,85.64593301435407,49.282296650717704,56.45933014354066,,,67.43719943842632,11.296179009307107,3.214525721322751,5.140180332661587,87.08808450171777,25.0936329588015,25.0936329588015,50.0,83.82738095238096,50.0
"López, Pablo",2020,90.43062200956938,95.21531100478468,88.99521531100478,44.49760765550239,,,64.37187219122512,12.558321915374938,5.804871690932346,4.05115907574176,86.78622487327416,27.851971177163446,27.851971177163446,100.0,82.62437059415912,100.0
"Bieber, Shane",2020,88.03827751196172,90.9090909090909,45.933014354066984,96.17224880382776,,,62.668912609446686,11.990357607644414,2.9960628082231464,8.755730905635417,86.41106393094967,27.823689415501764,27.823689415501764,100.0,82.92568659127625,100.0
"Matzek, Tyler",2020,89.47368421052632,75.11961722488039,81.3397129186603,71.29186602870813,,,63.690688358513746,9.90782181263249,5.305527889561823,6.490566691242174,85.39460475195023,28.31541218637993,28.31541218637993,75.0,79.06774580335731,75.0
"Wisler, Matt",2020,91.86602870813397,77.03349282296651,26.31578947368421,80.38277511961722,,,65.39364794029218,10.160250393846056,1.7164943172111775,7.318222846501243,84.58861549785065,26.199261992619927,26.199261992619927,50.0,87.58278145695364,50.0
"McGee, Jake",2020,95.21531100478468,99.04306220095694,22.966507177033492,24.16267942583732,,,67.777791354782,13.063179077802072,1.4980314041115732,2.1998229389780524,84.5388247756737,25.0,28.825622775800717,25.0,100.0,25.0
"Maeda, Kenta",2020,99.04306220095694,94.73684210526315,8.133971291866029,10.526315789473683,,,70.50252668562752,12.495214770071547,0.5305527889561822,0.9583387060894485,84.48663295074469,29.81678486997636,29.81678486997636,100.0,85.3610810810811,100.0
"Williams, Devin",2020,98.56459330143541,29.1866028708134,65.55023923444976,58.85167464114832,,,70.16193476927182,3.8495358635068913,4.2756312992351155,5.357984584045553,83.64508651605938,20.948616600790515,20.948616600790515,50.0,69.91185897435898,50.0
"Eflin, Zach",2020,86.60287081339713,73.20574162679426,90.43062200956938,63.1578947368421,,,61.64713686037962,9.655393231418923,5.89849865368932,5.750032236536691,82.95106098202456,31.74061433447099,31.74061433447099,100.0,76.28863198458575,100.0
"Castillo, Luis",2020,92.82296650717703,75.5980861244019,91.86602870813397,7.177033492822966,,,66.07483177300357,9.970928957935879,5.992125616446293,0.6534127541518967,82.69129910153764,33.89689889454448,33.89689889454448,100.0,95.94612526539278,100.0
"Suter, Brent",2020,93.77990430622009,98.08612440191388,4.30622009569378,29.1866028708134,,,66.75601560571494,12.93696478719529,0.28088088827092,2.65721186688438,82.63107314806552,30.069930069930063,30.069930069930063,50.0,87.68257575757575,50.0
"Peralta, Freddy",2020,91.38755980861244,30.14354066985646,79.90430622009569,91.38755980861244,,,65.0530560239365,3.9757501541136744,5.211900926804849,8.320122402867485,82.5608295077225,24.52830188679245,24.52830188679245,75.0,78.11989956057754,75.0
"Tanaka, Masahiro",2020,90.9090909090909,79.90430622009569,86.1244019138756,17.22488038277512,,,64.71246410758081,10.538893265666406,5.6176177654184,1.5681906099645522,82.43716574863016,27.1073343141271,27.1073343141271,100.0,73.40380047505937,100.0
