player_name,comp_player_name,same_hand,rank,arsenal_distance
"Bassitt, Chris","Eovaldi, Nathan",True,7,1.4420557249359183
"Bassitt, Chris","Javier, Cristian",True,8,1.4455832893828906
"Bassitt, Chris","Messick, Parker",False,9,1.4457151070483114
"Bassitt, Chris","Fried, Max",False,10,1.4634955161985794
"Newcomb, Sean","Gibson, Cade",True,1,0.5169492621277225
"Newcomb, Sean","Lugo, Seth",False,2,0.5337343368537155
"Newcomb, Sean","Javier, Cristian",False,3,0.6347512117308995
"Newcomb, Sean","Gusto, Ryan",False,4,0.6462952669579967
"Newcomb, Sean","Taillon, Jameson",False,5,0.6467893998887533
"Newcomb, Sean","Keller, Mitch",False,6,0.7660552699281433
"Newcomb, Sean","Gómez, Yoendrys",False,7,0.7692982592270989
"Newcomb, Sean","McLean, Nolan",False,8,0.7864977977201163
"Newcomb, Sean","Warren, Will",False,9,0.8124746074289599
"Newcomb, Sean","Vasil, Mike",False,10,0.9037852094676131
"Ogasawara, Shinnosuke","Sheehan, Emmet",False,1,0.7121540364287281
"Ogasawara, Shinnosuke","Burrows, Mike",False,2,0.9117426298442676
"Ogasawara, Shinnosuke","Yamamoto, Yoshinobu",False,3,0.9410039378744824
"Ogasawara, Shinnosuke","Burke, Sean",False,4,1.0415335706628595
"Ogasawara, Shinnosuke","Latz, Jacob",True,5,1.0791156726682831
"Ogasawara, Shinnosuke","Allard, Kolby",True,6,1.1618674030799585
"Ogasawara, Shinnosuke","Englert, Mason",False,7,1.1700311644975376
"Ogasawara, Shinnosuke","Thielbar, Caleb",True,8,1.1985729232764875
"Ogasawara, Shinnosuke","Liberatore, Matthew",True,9,1.2366544563924453
"Ogasawara, Shinnosuke","Young, Brandon",False,10,1.2627012181453663
"Gibson, Cade","Newcomb, Sean",True,1,0.5169492621277225
"Gibson, Cade","Lugo, Seth",False,2,0.5495856569456662
"Gibson, Cade","Taillon, Jameson",False,3,0.5807232764064676
"Gibson, Cade","Gómez, Yoendrys",False,4,0.676296245137203
"Gibson, Cade","Gusto, Ryan",False,5,0.6767516035311802
"Gibson, Cade","Warren, Will",False,6,0.7103913601832084
"Gibson, Cade","Leahy, Kyle",False,7,0.7367477997138521
"Gibson, Cade","Dubin, Shawn",False,8,0.7408207633167575
"Gibson, Cade","McLean, Nolan",False,9,0.753758103521467
"Gibson, Cade","Vasil, Mike",False,10,0.7638023527077663
"Ohtani, Shohei","Darvish, Yu",True,1,0.7731343316944647
"Ohtani, Shohei","Fried, Max",False,2,0.7909438397419527
"Ohtani, Shohei","Dobbins, Hunter",True,3,1.0037138324322332
"Ohtani, Shohei","Walker, Taijuan",True,4,1.0903239907790132
"Ohtani, Shohei","Pérez, Eury",True,5,1.1301206247888835
"Ohtani, Shohei","Yamamoto, Yoshinobu",True,6,1.1503918526691068
"Ohtani, Shohei","Keller, Mitch",True,7,1.220420975472118
"Ohtani, Shohei","Allard, Kolby",False,8,1.2889795091572795
"Ohtani, Shohei","Javier, Cristian",True,9,1.3624080117793116
"Ohtani, Shohei","Sugano, Tomoyuki",True,10,1.3706519708222231
"Yamamoto, Yoshinobu","Englert, Mason",True,1,0.6095713877242479
"Yamamoto, Yoshinobu","Allard, Kolby",False,2,0.6993856093975542
"Yamamoto, Yoshinobu","Burrows, Mike",True,3,0.7663823352920963
"Yamamoto, Yoshinobu","Dobbins, Hunter",True,4,0.7924789443293843
"Yamamoto, Yoshinobu","Liberatore, Matthew",False,5,0.7978420601279835
"Yamamoto, Yoshinobu","Sheehan, Emmet",True,6,0.834467580246958
"Yamamoto, Yoshinobu","Cecconi, Slade",True,7,0.8570807168097707
"Yamamoto, Yoshinobu","Mikolas, Miles",True,8,0.886103732876297
"Yamamoto, Yoshinobu","Verlander, Justin",True,9,0.8891935068163718
"Yamamoto, Yoshinobu","Pérez, Eury",True,10,0.914912104751733
"Sheehan, Emmet","Ogasawara, Shinnosuke",False,1,0.7121540364287281
"Sheehan, Emmet","Yamamoto, Yoshinobu",True,2,0.834467580246958
"Sheehan, Emmet","Burke, Sean",True,3,0.8562305896160038
"Sheehan, Emmet","Englert, Mason",True,4,0.9588981099029329
"Sheehan, Emmet","Beck, Tristan",True,5,0.9975980955183993
"Sheehan, Emmet","Burrows, Mike",True,6,1.074528677051463
"Sheehan, Emmet","Latz, Jacob",False,7,1.1248984018412138
"Sheehan, Emmet","Allard, Kolby",False,8,1.1298849498833947
"Sheehan, Emmet","Paddack, Chris",True,9,1.191369958489989
"Sheehan, Emmet","Schlittler, Cam",True,10,1.2105723811705265
"Gusto, Ryan","Lugo, Seth",True,1,0.4920834505526402
"Gusto, Ryan","Civale, Aaron",True,2,0.5820577018448282
"Gusto, Ryan","Leahy, Kyle",True,3,0.641278660592479
"Gusto, Ryan","Taillon, Jameson",True,4,0.6460810874916594
"Gusto, Ryan","Newcomb, Sean",False,5,0.6462952669579967
"Gusto, Ryan","Gibson, Cade",False,6,0.6767516035311802
"Gusto, Ryan","Vasil, Mike",True,7,0.7661634404346697
"Gusto, Ryan","Gómez, Yoendrys",True,8,0.8381060555803997
"Gusto, Ryan","Javier, Cristian",True,9,0.8747363737467342
"Gusto, Ryan","Schmidt, Clarke",True,10,0.8774959453028947
