player_name,comp_player_name,season,p_throws,rank,physical_distance
"Abad, Fernando","Anderson, Brett",2021,L,1,0.48374655950882517
"Abad, Fernando","Long, Sam",2021,L,2,0.5733807831588256
"Abad, Fernando","Osich, Josh",2021,L,3,0.7418974738442324
"Abad, Fernando","Ramirez, Nick",2021,L,4,0.8180170979285062
"Abad, Fernando","Keuchel, Dallas",2021,L,5,0.885647096139965
"Abad, Fernando","Detmers, Reid",2021,L,6,0.9102399158813732
"Abad, Fernando","Smyly, Drew",2021,L,7,0.9148089552200364
"Abad, Fernando","Smith, Caleb",2021,L,8,0.9235789872386487
"Abad, Fernando","Coulombe, Danny",2021,L,9,0.938464017233858
"Abad, Fernando","Miley, Wade",2021,L,10,0.9605148443309011
"Akin, Keegan","Santiago, Héctor",2021,L,1,0.2901326546345
"Akin, Keegan","King, John",2021,L,2,0.43770074987862995
"Akin, Keegan","Guenther, Sean",2021,L,3,0.5532004901900124
"Akin, Keegan","Anderson, Tyler",2021,L,4,0.5583263872472154
"Akin, Keegan","Lauer, Eric",2021,L,5,0.5910973055241048
"Akin, Keegan","Krol, Ian",2021,L,6,0.6229711755177663
"Akin, Keegan","Young, Alex",2021,L,7,0.629540851473575
"Akin, Keegan","Naughton, Packy",2021,L,8,0.6948519965341309
"Akin, Keegan","Kay, Anthony",2021,L,9,0.7064382727518512
"Akin, Keegan","Rodriguez, Eduardo",2021,L,10,0.7130642191900767
"Albers, Andrew","Keuchel, Dallas",2021,L,1,0.4776967302734773
"Albers, Andrew","Boyd, Matthew",2021,L,2,0.4839137156362653
"Albers, Andrew","Castano, Daniel",2021,L,3,0.5165473800738051
"Albers, Andrew","Peters, Dillon",2021,L,4,0.6986567393997212
"Albers, Andrew","Thielbar, Caleb",2021,L,5,0.7881575304738461
"Albers, Andrew","LeBlanc, Wade",2021,L,6,0.7911753408038498
"Albers, Andrew","Gonzales, Marco",2021,L,7,0.8113006734096988
"Albers, Andrew","Ryu, Hyun Jin",2021,L,8,0.8773995862979879
"Albers, Andrew","Anderson, Tyler",2021,L,9,0.8774164142112464
"Albers, Andrew","Miley, Wade",2021,L,10,0.8898679348781162
"Alexander, Scott","Rodriguez, Eduardo",2021,L,1,0.35862934456973533
"Alexander, Scott","Banda, Anthony",2021,L,2,0.5320545928606095
"Alexander, Scott","Price, David",2021,L,3,0.5751157850244274
"Alexander, Scott","Suarez, Ranger",2021,L,4,0.6033206628046901
"Alexander, Scott","Bummer, Aaron",2021,L,5,0.6213228624843827
"Alexander, Scott","Minter, A.J.",2021,L,6,0.6411295634508523
"Alexander, Scott","Lauer, Eric",2021,L,7,0.6456657191474868
"Alexander, Scott","Doolittle, Sean",2021,L,8,0.6893393966073929
"Alexander, Scott","Brothers, Rex",2021,L,9,0.7109053318461456
"Alexander, Scott","Guenther, Sean",2021,L,10,0.7452839342440291
"Alexander, Tyler","Peters, Dillon",2021,L,1,0.5494836570332301
