player_name,pitcher_effectiveness,pitcher_command,trusted_velocity_score,trusted_movement_score,trusted_tunneling_score,raw_tunneling_score,pitcher_effectiveness_contribution,pitcher_command_contribution,trusted_velocity_score_contribution,trusted_movement_score_contribution,paom_score,paom_confidence,effectiveness_confidence,movement_confidence,command_confidence,velocity_confidence
"Yamamoto, Yoshinobu",94.33551198257081,100.0,98.47494553376906,94.33551198257081,0.0193273209309692,0.0322122015516154,65.02485543951236,15.989453724510794,12.45500380807414,2.2954707457804733,95.76478371787778,42.14345781036448,42.14345781036448,100.0,96.71664588528678,100.0
"Wheeler, Zack",93.24618736383442,90.84967320261438,90.19607843137256,77.99564270152506,0.0062551535386065,0.0208505117953551,64.27399105799374,14.52636645560131,11.407901718014811,1.8978718868115692,92.10613111842143,36.96964806691545,36.96964806691545,100.0,92.50960735171262,100.0
"Smith, Cade",97.82135076252723,93.02832244008714,55.33769063180828,84.9673202614379,-0.0061414225576369,-0.061414225576369,67.42762146037194,14.874720567246424,6.9990508125018405,2.0675140666383016,91.3689069067585,40.87747547906032,40.87747547906032,75.0,91.45208845208846,75.0
"Bowlan, Jonathan",94.98910675381264,76.47058823529412,90.84967320261438,55.119825708061,,,65.47537406842353,12.227229318743548,11.49056767249318,1.3412334842551032,90.53440454391537,23.66412213740458,23.66412213740458,100.0,62.040806969280155,100.0
"Detmers, Reid",93.4640522875817,76.25272331154684,86.9281045751634,88.88888888888889,0.0076379471175087,0.0763794711750874,64.42416393429747,12.192393907579037,10.99457194562297,2.162937792790838,89.7740675802903,32.253767671098025,32.253767671098025,75.0,94.88227887944602,75.0
"Sale, Chris",97.1677559912854,67.53812636165577,76.25272331154684,62.96296296296296,0.0352292526872381,0.3522925268723819,66.97710283146077,10.798977460998575,9.644361355809624,1.5320809365601773,88.95252258482914,48.757296849021294,48.757296849021294,75.0,93.64139176103726,75.0
"Wrobleski, Justin",92.15686274509804,82.13507625272331,89.76034858387798,33.98692810457516,0.0101706248815657,0.101706248815657,63.52312667647513,13.132950009020847,11.352791081695898,0.8270056266553206,88.8358733938472,26.388434658132045,26.388434658132045,100.0,81.62477558348294,100.0
"Williams, Devin",98.25708061002179,96.51416122004358,31.154684095860567,63.834422657952075,0.0167679253297441,0.1676792532974418,67.7279672129794,15.43208714587861,3.9404104968022176,1.5532862090385189,88.65375106469874,36.46006756822541,36.46006756822541,50.0,100.0,50.0
"Eovaldi, Nathan",86.27450980392157,94.98910675381264,95.42483660130719,59.912854030501094,0.0164970328073643,0.0274950546789405,59.46845901627459,15.188239267727027,12.069229353841758,1.4578624828859819,88.18379012072937,35.36475496533548,35.36475496533548,100.0,96.5381504922644,100.0
"Brown, Hunter",96.73202614379085,57.9520697167756,81.26361655773421,74.94553376906318,0.0056060893751464,0.0056060893751464,66.67675707885333,9.266219369760067,10.278133673477113,1.8236534331373735,88.04476355522789,39.30363874825027,39.30363874825027,100.0,98.61917808219177,100.0
"Jax, Griffin",99.56427015250546,71.45969498910677,46.187363834422655,82.78867102396515,,,68.62900447080175,11.426014861959784,5.841727449804686,2.0145008854424478,87.91124766800866,30.466216237679117,30.466216237679117,100.0,82.09360076408787,100.0
"Skubal, Tarik",99.34640522875817,74.7276688453159,57.29847494553377,6.971677559912854,-0.0266112238496667,-0.0443520397494445,68.478831594498,11.948546029427456,7.247048675936945,0.16964217982673244,87.84406847968914,48.99828394687345,48.99828394687345,100.0,98.07144422529039,100.0
"Ragans, Cole",91.72113289760348,71.89542483660131,87.7995642701525,81.48148148148148,,,63.222780923867674,11.495685684288807,11.104793218260793,1.9826929767249353,87.8059528031422,28.702240735420855,28.702240735420855,100.0,76.27278344145815,100.0
"Maton, Phil",98.47494553376906,79.30283224400871,35.07625272331155,99.78213507625271,,,67.87814008928311,12.680089663882198,4.436406223672426,2.428003698770108,87.42263967560784,30.47422026192098,30.47422026192098,100.0,85.42592592592592,100.0
"Kittredge, Andrew",99.78213507625271,97.60348583877996,8.49673202614379,56.644880174291934,,,68.77917734710545,15.606264201701167,1.0746574082187865,1.3783427110922009,86.8384416681176,38.83792048929664,38.83792048929664,75.0,92.3913043478261,75.0
"Treinen, Blake",94.77124183006535,70.58823529411765,58.16993464052288,73.20261437908496,,,65.3252011921198,11.286673217301738,7.35726994857477,1.7812428881806903,85.750387246177,23.66412213740458,23.66412213740458,100.0,64.86552706552706,100.0
"Duran, Jhoan",82.13507625272331,89.54248366013073,98.25708061002179,91.93899782135077,-0.0206373797806012,-0.2063737978060121,56.61517436650384,14.317353988614242,12.427448489914685,2.237156246465034,85.5971330914978,31.14294617994733,31.14294617994733,100.0,90.06994439566873,100.0
"Snell, Blake",91.06753812636165,65.359477124183,82.78867102396515,72.33115468409585,0.029992849477025,0.0999761649234168,62.772262294956505,10.450623349353458,10.471020900593306,1.7600376157023487,85.45394416060562,30.723023019365435,30.723023019365435,100.0,95.32249884739511,100.0
"Suarez, Ranger",85.40305010893246,96.29629629629629,76.03485838779956,35.5119825708061,0.0046121859651785,0.0046121859651785,58.86776751105969,15.397251734714096,9.616806037650166,0.8641148534924182,84.74594013691637,36.55564860071124,36.55564860071124,100.0,97.19477751132426,100.0
"Orze, Eric",98.0392156862745,79.73856209150327,22.875816993464053,58.605664488017425,,,67.57779433667567,12.74976048621122,2.8933084067428867,1.4260545741684694,84.64691780379825,30.313588850174217,30.313588850174217,75.0,78.61233480176212,75.0
"Crochet, Garrett",95.20697167755992,41.394335511982575,84.31372549019608,66.88453159041394,0.0090618828286436,0.0151031380477394,65.62554694472726,6.618728121257192,10.663908127709497,1.6275046627127143,84.53568785640667,47.03511530580676,47.03511530580676,100.0,97.645390070922,100.0
"Morejon, Adrian",89.32461873638344,92.81045751633987,57.73420479302832,30.28322440087146,,,61.57087928452672,14.839885156081912,7.302159312255857,0.736883218622369,84.44980697148685,38.96570413037724,38.96570413037724,75.0,90.43642611683849,75.0
"Estrada, Jeremiah",92.37472766884531,57.29847494553377,81.04575163398692,33.551198257080614,0.0242019719206064,0.2420197192060649,63.67329955277884,9.161713136266533,10.250578355317655,0.8164029904161499,83.90199403477918,37.33574204905238,37.33574204905238,75.0,96.86914165350184,75.0
"Bazardo, Eduard",89.10675381263616,74.29193899782135,65.359477124183,88.01742919389977,0.0322149118504506,0.3221491185045065,61.42070640822299,11.878875207098432,8.266595447836819,2.141732520312497,83.70790958347074,36.99279284919899,36.99279284919899,75.0,94.67571533382245,75.0
"Skenes, Paul",83.2244008714597,89.32461873638344,93.24618736383442,3.485838779956427,-0.023434704655063,-0.023434704655063,57.366038748022454,14.282518577449729,11.793676172247196,0.08482108991336622,83.52705458763273,41.147718119430614,41.147718119430614,100.0,95.03503503503504,100.0
"deGrom, Jacob",76.90631808278867,98.0392156862745,98.69281045751634,76.68845315904139,-0.0053556213923614,-0.0535562139236146,53.01102533521447,15.675935024030188,12.482559126233598,1.8660639780940567,83.03558346357232,56.40743016154097,56.40743016154097,100.0,96.97959704157104,100.0
"Waldrep, Hurston",98.91067538126362,22.22222222222222,77.34204793028321,32.46187363834422,,,68.17848584189056,3.5532119387801764,9.782137946606902,0.7898963998182228,82.30373212709586,27.27272727272727,27.27272727272727,100.0,63.99642431466031,100.0
"Cease, Dylan",95.86056644880175,25.49019607843137,80.61002178649237,67.97385620915033,3.4251760841865904e-05,0.0003425176084186,66.07606557363843,4.075743106247849,10.195467718998744,1.6540112533106412,82.00128765219566,57.39109581494229,57.39109581494229,75.0,94.26365409622886,75.0
"Megill, Trevor",88.45315904139433,68.1917211328976,64.70588235294117,76.90631808278867,0.0145657772511423,0.1456577725114231,60.97018777931182,10.90348369449211,8.183929493358452,1.8713652962136422,81.92896626337603,31.7047467274826,31.7047467274826,50.0,100.0,50.0
"Herrin, Tim",97.38562091503267,32.24400871459695,68.1917211328976,41.61220043572985,,,67.1272757077645,5.155640852347707,8.624814583909748,1.0125517608408092,81.92028290486276,26.47058823529412,26.47058823529412,100.0,72.54021505376343,100.0
"Crismatt, Nabil",96.94989106753813,59.694989106753816,25.70806100217865,76.03485838779956,,,66.82692995515706,9.544902659076161,3.2515275428158157,1.8501600237353004,81.47352018078433,26.199261992619927,26.199261992619927,100.0,48.42063492063492,100.0
"Englert, Mason",88.67102396514161,41.830065359477125,90.41394335511983,90.6318082788671,,,61.12036065561555,6.688398943586215,11.435457036174267,2.2053483377475214,81.44956497312356,22.779922779922774,22.779922779922774,100.0,56.168528864059596,100.0
"Kerkering, Orion",91.50326797385621,54.68409586056645,61.6557734204793,64.05228758169935,0.0311546445547524,0.3115464455475243,63.07260804756396,8.743688202292395,7.798155039126066,1.5585875271581042,81.17303881614053,31.680387191446865,31.680387191446865,75.0,94.43270665472994,75.0
"Bender, Anthony",89.76034858387798,52.723311546840954,69.28104575163398,79.520697167756,,,61.87122503713416,8.43016950181179,8.762591174707028,1.934981113648667,80.99896682730163,28.825622775800717,28.825622775800717,75.0,81.75615212527966,75.0
