player_name,pitch_type,matchup_type,pitches,mean_plate_x,mean_plate_z,std_plate_x,std_plate_z
"Abbott, Andrew",CH,opposite,514,0.7577148539369304,2.20478302583138,0.6133406189827597,0.8093913346368423
"Abbott, Andrew",CH,same,12,-0.12886058418999535,2.2881162593001725,0.725945410490096,1.3482701868828915
"Abbott, Andrew",CU,opposite,264,0.19823464798300827,1.9177578985424535,0.6126495234173946,0.9099496777742069
"Abbott, Andrew",CU,same,44,-0.3088709535039286,1.8852807681972692,0.7179233091372361,0.8525631666336918
"Abbott, Andrew",FC,opposite,111,-0.4342351018181642,2.5514866965223737,0.620785266790561,0.9100262568791128
"Abbott, Andrew",FC,same,4,-0.4353209918530687,2.5636694674932703,0.36300836213541726,1.0696353878939953
"Abbott, Andrew",FF,opposite,920,0.368424190845162,2.7421015963675415,0.666925445356813,0.8343365778612368
"Abbott, Andrew",FF,same,343,-0.025881804914394443,2.681893620931998,0.6549703716054985,0.8213845022610116
"Abbott, Andrew",ST,opposite,192,-0.30726812228809064,1.6908068521753619,0.7366376566498807,0.9204504132902157
"Abbott, Andrew",ST,same,273,-0.5403487089756934,1.8727723044418183,0.5567510772696039,0.8765577074402958
"Abel, Mick",CH,opposite,59,-0.49916448342121594,2.266805791897521,0.8014775703027573,0.8442166236746473
"Abel, Mick",CH,same,4,-0.6645637502451317,2.167046514106142,0.5842273334350037,0.9428123774930235
"Abel, Mick",CU,opposite,123,0.1175714193688837,1.8614690635224278,0.7926076006682214,0.9688723507167214
"Abel, Mick",CU,same,31,0.3024095378666549,1.4778289150650659,0.7848432361699916,0.8551670066227163
"Abel, Mick",FF,opposite,211,-0.10841851037172795,3.0096061631696456,0.7164069834316146,0.7504486001491344
"Abel, Mick",FF,same,92,-0.09409096138615614,3.1462227355775587,0.7721408691749762,0.6646692783196283
"Abel, Mick",SI,opposite,15,-0.45796872108867964,2.6780036079296567,0.6710463652925824,0.7124760812762421
"Abel, Mick",SI,same,80,-0.24462642121042522,2.6389229590428878,0.6872095753156725,0.714058931022925
"Abel, Mick",SL,opposite,18,0.036687825207263436,2.1348183689778697,0.6689074977746022,0.71022301427767
"Abel, Mick",SL,same,65,0.2436614882088597,2.314316662607217,0.7714269443234462,0.7321436356916878
"Abner, Philip",FF,opposite,18,-0.137416361521712,2.9601506963055617,0.7955118682841151,0.8256775100787436
"Abner, Philip",FF,same,34,-0.08435216093690039,3.0643821111600356,0.5716820981111101,0.9194550175849334
"Abreu, Bryan",FF,opposite,269,-0.21802847529146693,2.9132964977653555,0.8029211068995107,0.8668286015289177
"Abreu, Bryan",FF,same,325,0.3987755407208632,2.8047854825565297,0.7823426827260279,0.8977985641453867
"Abreu, Bryan",SL,opposite,248,0.30340790041441357,1.8633284860558263,0.7535726535453425,0.919903252718934
"Abreu, Bryan",SL,same,328,0.6822408810623196,1.926615731196419,0.7774803810971425,0.8431627978374614
"Adam, Jason",CH,opposite,251,-0.5926722420216535,2.2389944771785917,0.8230711223558818,0.8837756195857607
"Adam, Jason",CH,same,112,-0.07508658904990703,2.039236833912192,0.7222277730635793,0.9915501001136238
"Adam, Jason",FF,opposite,107,-0.3023573422975365,3.330485123165236,0.6638456366089599,0.8240706605553381
"Adam, Jason",FF,same,140,-0.13097537996123565,3.38014039379129,0.6863798803820544,0.8577013420107961
"Adam, Jason",SL,opposite,153,-0.15270549737959505,2.2224969649625392,0.7559228214111494,0.7368067742131786
"Adam, Jason",SL,same,229,0.31741911879123635,2.078118440496427,0.7101870913918843,0.8898048411350358
"Adam, Jason",ST,opposite,25,0.11682713230937691,2.2550156473402168,1.178731424584566,1.1269274193635594
"Adam, Jason",ST,same,67,0.591172058497147,2.5173547292174923,1.2517079230275039,1.1697072236873516
"Adams, Travis",CH,opposite,94,-0.43548970173487067,1.7693899081502353,0.8584130236285203,0.78052095519512
"Adams, Travis",CH,same,17,-0.19853366002115813,1.3795438102446302,1.0304706557716363,0.9564313365729288
"Adams, Travis",FC,opposite,58,0.3406102532771444,2.592022781677263,0.719204114825891,0.7165912733230625
"Adams, Travis",FC,same,65,0.47110572673181933,2.446510884207344,0.6813016569700023,0.8964613138285431
"Adams, Travis",FF,opposite,137,-0.31661335747640434,2.7456128042495282,0.8047275356599765,0.7504647173494228
"Adams, Travis",FF,same,58,0.40133567253644026,2.8755456033886984,0.8668119117446379,0.7372053867708361
"Adams, Travis",SI,opposite,10,-0.5771403522386587,2.391265511793368,0.739562750350589,0.8631507998340993
"Adams, Travis",SI,same,64,-0.3237791798101176,2.2306726579779554,0.6995642214819316,0.7484512014284178
"Adams, Travis",SL,opposite,60,0.13028922851764815,1.3919794101815846,0.8684914929285837,0.8402804455354662
"Adams, Travis",SL,same,73,0.7360220404741303,1.5666241608835099,0.73666045320878,0.7126546826357022
"Agnos, Zach",FC,opposite,81,0.7011804346342385,2.527678712280662,0.7263983841275434,0.6931282747610327
"Agnos, Zach",FC,same,95,0.5416318963592045,2.669508261638979,0.6395658857887603,0.7480198718399519
"Agnos, Zach",FF,opposite,84,-0.5296171366921231,2.7795294682775427,0.6140743077213967,0.7019992514984992
"Agnos, Zach",FF,same,71,0.33815405552443173,3.0418090042772463,0.831750222794865,0.6574216312796846
"Agnos, Zach",FS,opposite,93,-0.25445521428914725,1.7279156697629157,0.7963787071141586,0.8576823774047759
"Agnos, Zach",FS,same,15,0.24126115083114943,1.687485486837787,0.5538363648072823,0.8054106090851284
"Agnos, Zach",ST,opposite,11,0.5289356385812901,1.8719468670957675,1.1257941008120098,1.3559432469647719
"Agnos, Zach",ST,same,75,1.1534183003204546,1.817427810993773,0.9133630983392872,0.9341562972729772
"Akin, Keegan",CH,opposite,183,0.6428833908877427,2.151343038761792,0.6378231894627815,0.8240478972457488
"Akin, Keegan",CH,same,28,-0.4549091855457838,2.1984295815799446,0.7048616935120545,0.7502501196517859
"Akin, Keegan",FF,opposite,323,-0.06781844684280477,2.881773906709233,0.691538502633419,0.8180086708990504
"Akin, Keegan",FF,same,220,-0.09985734512339978,2.9199748780211463,0.6381147506787159,0.8399042411269327
"Akin, Keegan",SL,opposite,116,-0.02917857140400196,1.695048949604197,0.8090006781530744,0.7722140156737776
"Akin, Keegan",SL,same,188,-0.45542278366928357,1.7830016178482753,0.6618205190138827,0.7906502328983281
"Alcala, Jorge",CU,opposite,116,-0.18531212149168194,2.116212757310933,0.7565389682735936,1.2160952718390188
"Alcala, Jorge",CU,same,130,0.1531318335822858,2.0933637431766345,0.6877248293438012,1.177637281450462
"Alcala, Jorge",FF,opposite,232,-0.0659730527055167,2.8665186668629654,0.7367675145128727,0.8331469285900047
"Alcala, Jorge",FF,same,259,-0.0331501684413682,2.9937919192834705,0.7539137343500433,0.9140812049840971
"Alcala, Jorge",SI,opposite,1,1.3675852727234357,2.352010521631088,0.0,0.0
"Alcala, Jorge",SI,same,137,-0.4235368247688744,2.322948728912457,0.7986995655827187,0.8147917690222912
