player_name,total_pitches,release_x,release_z,extension,avg_velo,map_x,map_y
"Abbott, Andrew",2677.0,2.529857,6.022895,6.310508,87.88015,-1.4722406584023655,1.0151154266575286
"Abel, Mick",457.0,-1.6821275590551181,5.651508661417322,6.765143307086614,91.79803149606298,0.8744969609165573,-0.6186884839938669
"Abreu, Bryan",1170.0,-2.49399593495935,5.6419146341463415,6.5641544715447155,91.98380487804879,1.031008942549494,-0.5120574391120768
"Adam, Jason",992.0,-1.0583541666666665,6.394918859649123,6.390618421052631,88.14159539473683,-0.07967965074046512,0.8330210748782003
"Adams, Travis",562.0,-2.0929728773584904,5.846606132075471,6.229037735849057,90.2819221698113,0.37583969248982735,0.18012602234223257
"Agnos, Zach",439.0,-1.7885990396158464,5.892747899159664,6.079028811524609,92.32524129651861,0.7237202088534106,0.6159231607462917
"Akin, Keegan",1058.0,1.8727607607607608,5.864451451451452,5.722294294294295,89.95112312312312,-1.2175290968337213,1.5361400877202331
"Alcala, Jorge",1038.0,-2.0085637104994905,6.626546381243628,5.851268093781854,93.2714362895005,1.2658020628498894,1.9963303576752887
"Alcantara, Sandy",2891.0,-1.7137687687687686,5.954643643643644,6.040857857857858,92.3342072072072,0.711386775646808,0.7687453790890612
"Alexander, Jason",1237.0,-1.6003029381965552,5.489734549138805,6.528072948328267,85.48399898682877,-0.9692422703112968,-0.9238607639197525
"Alexander, Scott",204.0,1.442,5.593,6.2780000000000005,91.262,-0.5444390745995588,0.43796022913460086
"Alexander, Tyler",1585.0,1.869418,5.429882,6.2513510000000005,86.529281,-1.9613894037164086,0.022136514679559325
"Allard, Kolby",914.0,2.038468271334792,5.425077680525164,6.169168490153172,84.48721115973741,-2.5791936967382463,0.025429088317866475
"Allen, Logan",2705.0,2.3774899799599196,5.236327655310621,6.315049098196393,85.58215330661322,-2.4122369762224625,-0.30848578225989276
"Altavilla, Dan",456.0,-2.115475,5.17795,5.923605,93.827845,0.7229729158621798,-0.20068819410311123
"Alvarado, Elvis",734.0,-2.4325005213764337,5.674135557872783,5.921483837330552,95.35132846715328,1.4592825319122205,0.5640046393836466
"Alvarado, José",426.0,1.3158326180257511,6.500270386266094,6.899532188841202,97.14442918454935,1.8435947282821044,1.313398254864352
"Alvarez, Andrew",376.0,1.3646363636363634,6.340805986696229,6.44370509977827,85.7696796008869,-1.3974029723411565,0.9755514588958318
"Anderson, Grant",1141.0,-2.534221294363257,4.342312108559499,6.477412317327766,88.12606784968685,-0.6616751713967232,-2.545570517273717
"Anderson, Tyler",2167.0,1.3665777537796977,6.337367170626349,6.010806695464362,84.2990637149028,-2.0467810236139976,1.429646806407223
"Armstrong, Shawn",1117.0,-1.5797327327327326,5.7796086086086085,6.711946946946947,91.04425325325327,0.687919281093261,-0.3913105961312723
"Arrighetti, Spencer",335.0,-2.1079686346863467,5.028225092250922,7.157483394833949,86.66023062730628,-0.3591268394240699,-2.415416290598233
"Ashby, Aaron",1039.0,0.37815314285714285,6.468242285714285,5.325519999999999,92.38731542857143,-0.09562412961903001,2.802934684594456
"Ashcraft, Braxton",1066.0,-1.0144679752066117,6.2526766528925615,6.283950413223142,92.55644731404959,0.8695728255116396,1.0356104868261113
"Ashcraft, Graham",1039.0,-0.10406300000000002,6.491281000000001,5.429441000000001,93.74261000000001,0.46799233099096393,2.701189782111013
"Assad, Javier",354.0,-1.6399344,5.9754128,6.5250352000000005,91.0735824,0.6959398899099929,0.12290275009893623
"Bachar, Lake",1143.0,-1.5441808191808193,5.664557442557443,6.080562437562438,89.8854065934066,-0.07986435970944782,0.17562552482623048
"Bachman, Sam",299.0,-1.986286995515695,5.437757847533633,6.313690582959641,91.39248430493272,0.4616203453985791,-0.438964310331592
"Backhus, Kyle",389.0,3.014292817679558,4.286563535911602,7.135745856353592,87.21855248618785,-2.1647155148301294,-2.5244073346329157
"Baker, Bryan",1102.0,-0.7638631368631369,6.587827172827173,6.421204795204796,91.43436663336665,0.7774715789740265,1.3290507360474686
"Banda, Anthony",1090.0,2.4290539979231567,5.520586708203531,6.171435098650052,90.67808099688473,-1.0944402069752652,0.6077847689701447
"Banks, Tanner",1022.0,2.6783037433155084,6.406366844919786,5.690682352941177,87.79872085561497,-1.734823710111868,2.382584073948953
"Barlow, Scott",1271.0,-2.436819639278557,5.201280561122244,6.638906813627254,85.44898396793587,-0.8063993586773601,-1.6379048019010343
"Barnett, Mason",230.0,-2.206,6.004,6.236,94.333,1.5117390052122461,0.627296953638075
"Bassitt, Chris",2842.0,-1.9692736625514404,5.438094650205762,6.33947633744856,86.012920781893,-0.8742056127039309,-0.7945092202560842
"Bautista, Félix",566.0,-0.04188137472283815,6.988243902439025,6.665971175166297,94.59580709534369,1.7199029295235115,1.9260455514788068
"Baz, Shane",2636.0,-1.4680897832817337,5.792028895768834,6.374513931888545,91.70247058823529,0.6085270085701101,0.11391943799007201
"Bazardo, Eduard",1363.0,-2.0164805725971373,5.823438650306748,5.850125766871165,89.98322290388548,0.02194768152755698,0.6214349582033046
"Beck, Tristan",817.0,-2.440862,5.970541,6.78641,87.921136,0.31306940816862094,-0.5494850090850536
"Bednar, David",1097.0,-1.687961,5.878406,6.526243,89.01109,0.14360169593956815,-0.15433434967298637
"Beeks, Jalen",825.0,1.0450344062153163,5.941147613762485,6.533791342952275,92.055910099889,0.12142575934996495,0.6009394622055083
"Beeter, Clayton",465.0,-1.21062,6.096220000000001,5.9179,92.31414000000001,0.5501369556099713,1.2202755043811147
"Bello, Brayan",2725.0,-1.6560040040040038,5.3261471471471475,6.343232232232232,91.33883583583584,0.309149110564887,-0.5839622502912182
"Bellozo, Valente",1239.0,-1.2128995726495726,5.997954059829059,6.059930555555557,85.04986538461537,-1.2289426946816915,0.45544999549529375
"Bender, Anthony",745.0,-1.9480273396424816,5.54035436382755,5.720567823343848,88.29522502628812,-0.653558445053957,0.2809357256083181
"Bergert, Ryan",1117.0,-1.7380987074030554,5.941813160987074,6.415318448883666,89.42166274970621,0.22344744988813556,0.09484536074831575
"Bernardino, Brennan",797.0,3.0516718913270635,5.041536050156739,5.61667816091954,85.58544305120166,-3.1661637624107657,0.41115397061147985
"Berríos, José",2583.0,-1.987451,5.649803,6.386832,88.500079,-0.10405975669672331,-0.3969356244317633
"Bibee, Tanner",3056.0,-2.200596596596597,6.294694694694695,6.632466466466467,88.15153253253253,0.36965018354872475,0.17671867756965834
"Bido, Osvaldo",1284.0,-2.3197604726100964,5.915490870032223,6.281547798066595,90.92606874328678,0.6754333997091213,0.21304106034558246
"Bieber, Shane",942.0,-1.679137137137137,5.623555555555555,6.651122122122122,88.10804504504505,-0.13874542131362405,-0.7386324812773638
"Bigge, Hunter",203.0,-0.29069574944071586,5.739384787472035,6.792385906040268,93.36887248322148,0.9128214324339589,-0.1806687742475489
"Bird, Jake",933.0,-2.770882051282051,5.203044102564102,5.870620512820513,86.85342769230769,-0.8476216154027006,-0.6371842089872202
"Birdsong, Hayden",1174.0,-1.9147802644964391,6.475156663275686,6.516600203458799,90.7050915564598,0.9434548477265908,0.7935257047147355
"Bivens, Spencer",1144.0,-1.800700226244344,6.189690045248868,6.345018099547511,91.43965950226244,0.8327217277281022,0.6578928891394815
"Blackburn, Paul",519.0,-2.2000081190798375,5.852541271989173,6.247757780784844,89.36015832205683,0.19234064921966695,0.09005960186862527
