player_name,season,p_throws,total_pitches,release_x,release_z,extension,avg_velo,map_x,map_y
"Abbott, Andrew",2023,L,1897.0,1.6346857199999998,5.7821333899999985,6.72815216,88.09248016,0.8689183403048102,-0.20611803755332112
"Abbott, Cory",2023,R,687.0,-2.7327392400000003,5.638184470000001,6.256500870000001,88.36045012000001,-0.36304452687747785,-0.2826528700349219
"Abreu, Albert",2023,R,1062.0,-1.549498320167983,5.74515906409359,6.619181781821818,93.3100293470653,-1.3831473752595846,0.4052104922563031
"Abreu, Bryan",2023,R,1322.0,-2.278426887311269,5.697753444655533,6.4901378962103795,91.70016934306568,-1.1662654718871164,0.14559826215637323
"Adam, Jason",2023,R,906.0,-1.461499279927993,5.812813891389139,6.596337763776378,87.99495758575858,-0.1000840621296548,-0.3051237143165008
"Adams, Austin",2023,R,362.0,-3.58341878,5.23986081,5.86107158,88.67205402,-0.43767640543862407,-0.5057650070236189
"Adcock, Ty",2023,R,207.0,-2.46978792,6.05907308,6.379690480000001,90.92592576,-0.9237987640718818,0.6360374508649043
"Adon, Joan",2023,R,836.0,-1.936339193919392,5.8774905690569055,6.255708230823083,89.86094328432844,-0.39850026956017964,0.3661736747432217
"Akin, Keegan",2023,L,452.0,2.3973188199999997,5.907829979999999,5.83079586,90.43546032,1.392177832110066,1.2568362864203817
"Alcala, Jorge",2023,R,319.0,-2.57760476,6.57646196,5.81535211,90.92567921,-0.4206991682689484,1.9110126662532623
"Alcantara, Sandy",2023,R,2721.0,-1.94023646,6.02850905,6.05897493,94.11479749,-1.1943647988931276,1.4409016605351967
"Alexander, Scott",2023,L,694.0,1.8248909099999997,5.73293161,6.217707849999999,90.62853229000001,0.7897004576179372,0.6208214797289284
"Alexander, Tyler",2023,L,679.0,1.2017978597859782,5.68161609160916,6.333274567456746,86.68751377137714,1.3694264403907526,-0.23455846656333307
"Allen, Logan",2023,L,2134.0,2.2505780621937808,5.229569493050696,6.502882341765825,86.0978482251775,1.6878140961239596,-1.0572397802460656
"Almonte, Yency",2023,R,813.0,-1.4201242500000002,5.74283204,6.6230229,88.93267561,-0.33162508907770544,-0.28069516713838216
"Alvarado, José",2023,L,842.0,1.24061928,6.685466379999999,6.881121879999999,96.52476736,-1.255637015784236,2.253716944669732
"Alzolay, Adbert",2023,R,945.0,-1.38331804,6.1663057000000006,6.43442083,90.75111497,-0.5308871551336783,0.8007797918371135
"Anderson, Chase",2023,R,1447.0,-1.52566255,5.84502309,5.89110228,88.32682492,0.41459267132923705,0.4562173459359313
"Anderson, Grant",2023,R,598.0,-2.85730475,4.3097951299999995,6.66189058,88.81254992000001,-0.9986584730923681,-2.5298867207159024
"Anderson, Nick",2023,R,548.0,-0.6034915399999999,6.56780025,6.07956409,87.4799199,0.8505934856308657,1.2668387810762483
"Anderson, Tyler",2023,L,2519.0,1.8242990600939908,6.2753015498450155,6.229448435156485,85.32965543445657,2.0558407721692955,0.5607981089376496
"Armstrong, Shawn",2023,R,795.0,-1.8991434000000003,5.721441759999999,6.6275783,92.66154867,-1.3686131936172998,0.2322036198040881
"Ashcraft, Graham",2023,R,2324.0,-1.38227534,6.2365847599999995,5.6948460999999995,93.05730616,-0.4142084382400015,1.9660789854027503
"Assad, Javier",2023,R,1682.0,-1.6680927492749273,5.99828806880688,6.415180528052805,88.99443516351636,-0.22854070960609404,0.2756325957084037
"Avila, Pedro",2023,R,895.0,-1.16607598,5.5886606599999995,6.38559264,87.79532375,0.21135754737771198,-0.43766487125509707
"Bachman, Sam",2023,R,316.0,-1.60261543,5.44798445,6.31707419,91.40142359000001,-0.7310164245641245,-0.04426893674215428
