player_name,pitch_type,pitches,mean_release_x,mean_release_z,std_release_x,std_release_z
"Abbott, Andrew",CH,526,2.572642585551331,6.030266159695818,0.17201454426925475,0.08715134878766752
"Abbott, Andrew",CU,308,2.4774025974025973,6.1454545454545455,0.17541687970957265,0.06895772116494024
"Abbott, Andrew",FC,115,2.5363478260869567,6.023565217391305,0.1454534979332643,0.06561706164982992
"Abbott, Andrew",FF,1263,2.5294853523357084,5.986334125098971,0.18554192156624089,0.07143717663370071
"Abbott, Andrew",ST,465,2.516709677419355,6.033741935483871,0.17187145486282124,0.08013847165055697
"Abel, Mick",CH,63,-1.686031746031746,5.6499999999999995,0.10330880240015296,0.1271270636905474
"Abel, Mick",CU,154,-1.6448701298701298,5.623116883116883,0.10426986739099013,0.12224222969020691
"Abel, Mick",FF,303,-1.700957095709571,5.666402640264026,0.0986367750127438,0.13244240129913107
"Abel, Mick",SI,95,-1.7316842105263157,5.669789473684211,0.10130691341407617,0.13182821629462413
"Abel, Mick",SL,83,-1.6950602409638553,5.625542168674699,0.1007698838815558,0.11963616603898591
"Abner, Philip",FF,52,2.6273076923076926,5.690576923076923,0.10105551540895787,0.07827586865615908
"Abreu, Bryan",FF,594,-2.402996632996633,5.546195286195286,0.22776672925737798,0.1492623873629376
"Abreu, Bryan",SL,576,-2.5881944444444445,5.740590277777778,0.25833218326064705,0.16933013448422132
"Adam, Jason",CH,363,-1.0927823691460055,6.376280991735538,0.16101276335911177,0.13341539147297296
"Adam, Jason",FF,247,-0.9765587044534413,6.435425101214575,0.1662422429119508,0.15553906215215718
"Adam, Jason",SL,382,-1.0779581151832462,6.3865445026178005,0.14783660670839366,0.12965772368396267
"Adam, Jason",ST,92,-1.0903260869565217,6.354673913043478,0.1900806716359524,0.2013222832415098
"Adams, Travis",CH,111,-1.932882882882883,5.688558558558558,0.5915778399368427,0.1067439318849884
"Adams, Travis",FC,123,-2.1464227642276423,5.973414634146342,0.49568321798533393,0.12979699956301677
"Adams, Travis",FF,195,-2.0316410256410258,5.927333333333333,0.6275737721936239,0.16347409601746893
"Adams, Travis",SI,74,-2.552972972972973,5.750405405405405,0.1713182549088478,0.09865449866766178
"Adams, Travis",SL,133,-2.2660902255639095,5.743383458646616,0.40196832866809473,0.10479335522860367
