player_name,pitch_type,HB,IVB,usage,velo,pitches
"Armstrong, Shawn",FF,-5.4353,15.7215,0.2889,93.5232,323
"Armstrong, Shawn",SI,-15.4409,10.8727,0.2361,94.108,264
"Armstrong, Shawn",ST,12.4,9.9076,0.2335,85.0828,261
"Arrighetti, Spencer",CH,-15.1448,4.1048,0.0939,84.9603,58
"Arrighetti, Spencer",CU,16.3148,-7.3977,0.2249,77.5381,139
"Arrighetti, Spencer",FC,3.7772,8.3637,0.1392,87.0872,86
"Arrighetti, Spencer",FF,-12.9551,15.0092,0.3172,93.1352,196
"Arrighetti, Spencer",SI,-16.8393,9.696,0.089,92.4745,55
"Arrighetti, Spencer",ST,15.4471,1.6914,0.1359,79.9452,84
"Ashby, Aaron",CH,13.8142,3.8587,0.1136,91.4237,135
"Ashby, Aaron",CU,-7.8237,-17.2218,0.2517,82.3645,299
"Ashby, Aaron",SI,14.9962,7.3567,0.5093,97.5646,605
"Ashby, Aaron",SL,-9.289,-6.8927,0.0825,84.3153,98
"Ashcraft, Braxton",CU,7.965,-12.39,0.2105,84.3263,232
"Ashcraft, Braxton",FF,-7.3068,15.7398,0.2967,96.9593,327
"Ashcraft, Braxton",SI,-15.5573,8.4096,0.1479,96.5779,163
"Ashcraft, Braxton",SL,1.9559,5.5901,0.3122,92.0241,344
"Ashcraft, Graham",FC,2.5277,9.6814,0.5409,97.0516,562
"Ashcraft, Graham",SL,10.117,-2.2234,0.4591,89.8415,477
"Assad, Javier",FC,2.821,9.0571,0.2187,89.0153,124
"Assad, Javier",FF,-5.1783,16.495,0.127,92.1847,72
"Assad, Javier",SI,-13.4489,10.764,0.4056,92.1839,230
"Assad, Javier",ST,13.2493,2.1567,0.1287,80.8973,73
"Avila, Luinder",CU,12.1707,-7.2558,0.3272,82.6634,71
"Avila, Luinder",FF,-0.5905,13.6362,0.2903,95.8143,63
"Avila, Luinder",SI,-12.1154,10.5715,0.2396,95.8019,52
"Bachar, Lake",FF,-9.3758,18.3405,0.3718,94.7659,425
"Bachar, Lake",FS,-13.105,7.1491,0.1216,83.9683,139
"Bachar, Lake",SL,2.2592,1.5794,0.2327,89.2079,266
"Bachar, Lake",ST,11.5192,0.0514,0.2738,86.4696,313
"Bachman, Sam",SI,-16.0937,9.8242,0.3403,97.2123,114
"Bachman, Sam",SL,2.3358,-2.0562,0.5522,87.8076,185
"Backhus, Kyle",SI,18.3363,2.1358,0.6349,90.9722,273
"Backhus, Kyle",ST,-13.0634,2.2024,0.2698,78.3914,116
"Baker, Bryan",CH,-14.4453,7.9755,0.2786,85.0629,307
"Baker, Bryan",FF,-4.1949,18.0817,0.4719,96.7419,520
"Baker, Bryan",SL,6.902,4.9636,0.2495,88.524,275
"Banda, Anthony",FF,10.0527,14.4711,0.2253,95.9071,255
"Banda, Anthony",SI,15.5231,9.8538,0.2385,95.7919,270
"Banda, Anthony",SL,-6.5393,-1.652,0.4991,85.871,565
"Banks, Tanner",CH,10.8913,3.1808,0.065,82.8718,71
