player_name,comp_player_name,season,p_throws,rank,physical_distance
"Banks, Tanner","Suárez, Andrew",2023,L,9,0.9541712954347742
"Banks, Tanner","Young, Alex",2023,L,10,0.9549136769204505
"Beeks, Jalen","Vesia, Alex",2023,L,1,0.63983438934225
"Beeks, Jalen","Mayza, Tim",2023,L,2,0.7500122764565801
"Beeks, Jalen","Muller, Kyle",2023,L,3,0.7618864426612623
"Beeks, Jalen","Garrett, Amir",2023,L,4,0.8886679909823525
"Beeks, Jalen","Rodriguez, Eduardo",2023,L,5,0.9335061482394638
"Beeks, Jalen","Paxton, James",2023,L,6,0.9412258310503194
"Beeks, Jalen","Skubal, Tarik",2023,L,7,0.9618585255344957
"Beeks, Jalen","Cabrera, Génesis",2023,L,8,1.0204551238090707
"Beeks, Jalen","Alexander, Scott",2023,L,9,1.0317165084838391
"Beeks, Jalen","Perdomo, Angel",2023,L,10,1.034781119408238
"Bernardino, Brennan","Cosgrove, Tom",2023,L,1,0.9191831040641454
"Bernardino, Brennan","Raley, Brooks",2023,L,2,1.0719646185972198
"Bernardino, Brennan","Rom, Drew",2023,L,3,1.1439756201319693
"Bernardino, Brennan","Norris, Daniel",2023,L,4,1.2114901808430207
"Bernardino, Brennan","Suarez, José",2023,L,5,1.2748218175124477
"Bernardino, Brennan","Rogers, Taylor",2023,L,6,1.3768239091827739
"Bernardino, Brennan","Wood, Alex",2023,L,7,1.5235539881324178
"Bernardino, Brennan","Loup, Aaron",2023,L,8,1.5480526046072285
"Bernardino, Brennan","Sale, Chris",2023,L,9,1.601064016400943
"Bernardino, Brennan","Boyd, Matthew",2023,L,10,1.6017490348975552
"Blach, Ty","Urías, Julio",2023,L,1,1.6506759358553087
"Blach, Ty","Rosenberg, Kenny",2023,L,2,1.6769454356002442
"Blach, Ty","Rogers, Taylor",2023,L,3,1.694357441413586
"Blach, Ty","Ramirez, Nick",2023,L,4,1.7844282955795616
"Blach, Ty","Hand, Brad",2023,L,5,1.8162872450453316
"Blach, Ty","Raley, Brooks",2023,L,6,1.831494430883705
"Blach, Ty","Rom, Drew",2023,L,7,1.8316702555518956
"Blach, Ty","Smeltzer, Devin",2023,L,8,1.8502813391241066
"Blach, Ty","Vespi, Nick",2023,L,9,1.8877357405368382
"Blach, Ty","Newcomb, Sean",2023,L,10,1.9586046700608073
"Bleier, Richard","Bumgarner, Madison",2023,L,1,0.4069607883989199
"Bleier, Richard","Bruihl, Justin",2023,L,2,0.622215328891331
"Bleier, Richard","Springs, Jeffrey",2023,L,3,0.6948079422016157
"Bleier, Richard","Quintana, Jose",2023,L,4,0.7152715115129845
"Bleier, Richard","Garrett, Braxton",2023,L,5,0.7352031583948824
"Bleier, Richard","Henry, Tommy",2023,L,6,0.7528590762681394
"Bleier, Richard","Bubic, Kris",2023,L,7,0.870195612417828
"Bleier, Richard","Freeland, Kyle",2023,L,8,0.9095954719088772
"Bleier, Richard","Zastryzny, Rob",2023,L,9,0.9569813086338801
"Bleier, Richard","Sánchez, Cristopher",2023,L,10,0.9679653582260479
"Borucki, Ryan","Zastryzny, Rob",2023,L,1,0.3290610136087235
"Borucki, Ryan","Abbott, Andrew",2023,L,2,0.39500258568375535
"Borucki, Ryan","Matz, Steven",2023,L,3,0.44461810295544246
"Borucki, Ryan","Morán, Jovani",2023,L,4,0.48253684227913
"Borucki, Ryan","Hughes, Brandon",2023,L,5,0.542827732506542
"Borucki, Ryan","Shuster, Jared",2023,L,6,0.6386835218066693
"Borucki, Ryan","Henry, Tommy",2023,L,7,0.6456379805376882
"Borucki, Ryan","Saucedo, Tayler",2023,L,8,0.6672104345624785
"Borucki, Ryan","Holton, Tyler",2023,L,9,0.7052901471005422
"Borucki, Ryan","Taylor, Josh",2023,L,10,0.7410831171195351
"Boyd, Matthew","Gonzales, Marco",2023,L,1,0.4359594815977907
"Boyd, Matthew","Mantiply, Joe",2023,L,2,0.624656110497217
"Boyd, Matthew","Allen, Logan",2023,L,3,0.6251353116372171
"Boyd, Matthew","Shreve, Chasen",2023,L,4,0.6442460451259042
"Boyd, Matthew","Fleming, Josh",2023,L,5,0.6682580640273965
"Boyd, Matthew","Sanmartin, Reiver",2023,L,6,0.7704566782501738
"Boyd, Matthew","Walter, Brandon",2023,L,7,0.8075002617685576
"Boyd, Matthew","Norris, Daniel",2023,L,8,0.8418073032307832
"Boyd, Matthew","Bruihl, Justin",2023,L,9,0.856725794346541
"Boyd, Matthew","Sale, Chris",2023,L,10,0.967282729496997
"Bradford, Cody","Falter, Bailey",2023,L,1,0.7833245800444693
"Bradford, Cody","Peterson, David",2023,L,2,1.1014609160264204
"Bradford, Cody","Lynch IV, Daniel",2023,L,3,1.1109330621049325
"Bradford, Cody","Poche, Colin",2023,L,4,1.1544991224601697
"Bradford, Cody","Thompson, Zack",2023,L,5,1.2255628777255516
"Bradford, Cody","Sánchez, Cristopher",2023,L,6,1.262316913127352
"Bradford, Cody","Hentges, Sam",2023,L,7,1.4013267924486246
"Bradford, Cody","Manaea, Sean",2023,L,8,1.4822715713047643
"Bradford, Cody","Taylor, Josh",2023,L,9,1.5196890116190538
"Bradford, Cody","McClanahan, Shane",2023,L,10,1.5575041766848654
"Bruihl, Justin","Bumgarner, Madison",2023,L,1,0.28898681175195046
"Bruihl, Justin","Bleier, Richard",2023,L,2,0.622215328891331
"Bruihl, Justin","Fleming, Josh",2023,L,3,0.7089272933296994
"Bruihl, Justin","Quintana, Jose",2023,L,4,0.7093713553526876
"Bruihl, Justin","Springs, Jeffrey",2023,L,5,0.7248685304188688
"Bruihl, Justin","Walter, Brandon",2023,L,6,0.7290134728225841
"Bruihl, Justin","Gonzales, Marco",2023,L,7,0.7670332382988876
"Bruihl, Justin","Sanmartin, Reiver",2023,L,8,0.7775165454431382
"Bruihl, Justin","Henry, Tommy",2023,L,9,0.8245869157242663
"Bruihl, Justin","Okert, Steven",2023,L,10,0.831912854547411
"Bubic, Kris","Henry, Tommy",2023,L,1,0.6234988463950617
"Bubic, Kris","Waldichuk, Ken",2023,L,2,0.6246179467613995
"Bubic, Kris","Saucedo, Tayler",2023,L,3,0.631773856644837
"Bubic, Kris","Zastryzny, Rob",2023,L,4,0.7800433646263496
"Bubic, Kris","Walter, Brandon",2023,L,5,0.8090462078125654
"Bubic, Kris","Freeland, Kyle",2023,L,6,0.8092714273030028
"Bubic, Kris","Borucki, Ryan",2023,L,7,0.8096302206957505
"Bubic, Kris","Taylor, Josh",2023,L,8,0.8322216327568684
"Bubic, Kris","Abbott, Andrew",2023,L,9,0.8526766287295853
"Bubic, Kris","Bumgarner, Madison",2023,L,10,0.8636861239202809
"Bumgarner, Madison","Bruihl, Justin",2023,L,1,0.28898681175195046
"Bumgarner, Madison","Bleier, Richard",2023,L,2,0.4069607883989199
"Bumgarner, Madison","Quintana, Jose",2023,L,3,0.5699999252238532
"Bumgarner, Madison","Henry, Tommy",2023,L,4,0.5943621538354467
"Bumgarner, Madison","Springs, Jeffrey",2023,L,5,0.6242325477529064
"Bumgarner, Madison","Walter, Brandon",2023,L,6,0.6698412222731005
