player_name,pitch_type,pitches,command_dispersion,dispersion_z,dispersion_z_relative,used_handedness_split,avg_clusters_per_split,raw_command_score,command_score,confidence_score,trusted_command_score
"Yamamoto, Yoshinobu",FF,1095,0.6887117631267017,-3.55174235173371,-3.55174235173371,True,2.0,3.55174235173371,100.0,100.0,100.0
"Nola, Aaron",FF,486,0.7424744451299623,-2.790456354320934,-2.790456354320934,True,1.5,2.790456354320934,99.76377952755907,100.0,99.76377952755907
"Williams, Trevor",ST,398,0.7555267701120465,-2.7761348266051646,-2.7761348266051646,True,1.0,2.7761348266051646,99.68503937007874,100.0,99.68503937007874
"Suarez, Ranger",SI,717,0.7241059755586862,-2.498552913383451,-2.498552913383451,True,1.5,2.498552913383451,99.37007874015748,100.0,99.37007874015748
"deGrom, Jacob",SL,983,0.7522168948093296,-2.462083002223787,-2.462083002223787,True,1.0,2.462083002223787,99.25196850393701,100.0,99.25196850393701
"Yamamoto, Yoshinobu",FC,368,0.7459845279927779,-2.353570026582448,-2.353570026582448,True,1.0,2.353570026582448,99.13385826771653,100.0,99.13385826771653
"McGreevy, Michael",SI,325,0.7410005394275856,-2.2645328256378616,-2.2645328256378616,True,1.0,2.2645328256378616,99.05511811023622,100.0,99.05511811023622
"Nola, Aaron",KC,471,0.8294982777878348,-2.1763535215561194,-2.1763535215561194,True,1.0,2.1763535215561194,98.9763779527559,100.0,98.9763779527559
"Luzardo, Jesús",SI,343,0.7553503214263948,-2.065762542572237,-2.065762542572237,True,1.0,2.065762542572237,98.62204724409449,100.0,98.62204724409449
"Mahle, Tyler",FS,383,0.7803253911910913,-2.0111416464696066,-2.0111416464696066,True,1.0,2.0111416464696066,98.4251968503937,100.0,98.4251968503937
"Suarez, Ranger",FC,436,0.7738123946419377,-1.994295254659875,-1.994295254659875,True,1.0,1.994295254659875,98.38582677165354,100.0,98.38582677165354
"Gallen, Zac",SL,406,0.7979234107534295,-1.9747850282257557,-1.9747850282257557,True,1.0,1.9747850282257557,98.34645669291339,100.0,98.34645669291339
"Flaherty, Jack",SL,733,0.7995006303211322,-1.957969572398155,-1.957969572398155,True,1.0,1.957969572398155,98.26771653543307,100.0,98.26771653543307
"Schwellenbach, Spencer",FF,555,0.8013075009849048,-1.9573732576730578,-1.9573732576730578,True,1.0,1.9573732576730578,98.22834645669292,100.0,98.22834645669292
"Snell, Blake",CH,362,0.7634036713042957,-1.9389964989291937,-1.9389964989291937,True,1.0,1.9389964989291937,98.18897637795276,100.0,98.18897637795276
"Mize, Casey",SI,307,0.764783851109963,-1.935091193999385,-1.935091193999385,True,1.0,1.935091193999385,98.14960629921259,100.0,98.14960629921259
"Gallen, Zac",KC,736,0.8597254922246269,-1.9164373038649583,-1.9164373038649583,True,1.0,1.9164373038649583,98.03149606299213,100.0,98.03149606299213
"Hendricks, Kyle",CH,987,0.7675329024046527,-1.901194907821825,-1.901194907821825,True,1.0,1.901194907821825,97.99212598425197,100.0,97.99212598425197
"Taillon, Jameson",FC,313,0.7819611336171649,-1.8890900524899947,-1.8890900524899947,True,1.0,1.8890900524899947,97.95275590551181,100.0,97.95275590551181
"Gallen, Zac",CH,501,0.7727768598063748,-1.8531884076607612,-1.8531884076607612,True,1.0,1.8531884076607612,97.79527559055119,100.0,97.79527559055119
"Kirby, George",FF,661,0.8088441600772541,-1.8506532649105822,-1.8506532649105822,True,1.0,1.8506532649105822,97.75590551181102,100.0,97.75590551181102
"Eovaldi, Nathan",FC,385,0.7869420168124339,-1.82478380521224,-1.82478380521224,True,1.0,1.82478380521224,97.67716535433071,100.0,97.67716535433071
"deGrom, Jacob",FF,1203,0.8115901556505932,-1.8117696396700533,-1.8117696396700533,True,1.0,1.8117696396700533,97.63779527559055,100.0,97.63779527559055
"Skenes, Paul",FS,405,0.8122649513299036,-1.7598265683731367,-1.7598265683731367,True,1.0,1.7598265683731367,97.08661417322834,100.0,97.08661417322834
"Williams, Trevor",FF,613,0.8168157306582049,-1.7377748735331322,-1.7377748735331322,True,1.0,1.7377748735331322,96.92913385826772,100.0,96.92913385826772
"Kittredge, Andrew",SL,436,0.8205074163455776,-1.734006663423821,-1.734006663423821,True,1.0,1.734006663423821,96.88976377952756,100.0,96.88976377952756
"De Los Santos, Enyel",SL,397,0.8251947212614538,-1.6840331718583947,-1.6840331718583947,True,1.0,1.6840331718583947,96.61417322834646,100.0,96.61417322834646
"Ryan, Joe",FF,1404,0.8209041290536462,-1.6798826640242104,-1.6798826640242104,True,1.0,1.6798826640242104,96.5748031496063,100.0,96.5748031496063
"McGreevy, Michael",FF,373,0.8243028682236915,-1.631756111504809,-1.631756111504809,True,1.0,1.631756111504809,96.33858267716535,100.0,96.33858267716535
"Hendricks, Kyle",SI,987,0.7871820934743985,-1.6248352629113205,-1.6248352629113205,True,1.5,1.6248352629113205,96.25984251968504,100.0,96.25984251968504
"Kelly, Merrill",CH,767,0.7986722238766595,-1.6161258794635107,-1.6161258794635107,True,1.0,1.6161258794635107,96.18110236220473,100.0,96.18110236220473
"Flaherty, Jack",FF,1401,0.8285175973029945,-1.5720750444262133,-1.5720750444262133,True,1.5,1.5720750444262133,95.8267716535433,100.0,95.8267716535433
"Manaea, Sean",FF,663,0.8298251223558246,-1.5535603335357553,-1.5535603335357553,True,1.0,1.5535603335357553,95.62992125984252,100.0,95.62992125984252
"Roupp, Landen",CU,660,0.8886533075877147,-1.5527112592359844,-1.5527112592359844,True,1.0,1.5527112592359844,95.59055118110236,100.0,95.59055118110236
"Berríos, José",CH,434,0.8070205759190525,-1.5396997888289559,-1.5396997888289559,True,1.0,1.5396997888289559,95.51181102362204,100.0,95.51181102362204
"Rogers, Tyler",SI,729,0.7934229100576273,-1.538388731604296,-1.538388731604296,True,1.0,1.538388731604296,95.47244094488188,100.0,95.47244094488188
"López, Pablo",FF,518,0.8317781795104826,-1.5259048109950868,-1.5259048109950868,True,1.0,1.5259048109950868,95.31496062992126,100.0,95.31496062992126
"Spence, Mitch",SL,362,0.8406406651955578,-1.519356931937122,-1.519356931937122,True,1.0,1.519356931937122,95.2755905511811,100.0,95.2755905511811
"Yamamoto, Yoshinobu",CU,595,0.8935788666547577,-1.515005236182245,-1.515005236182245,True,1.0,1.515005236182245,95.23622047244095,100.0,95.23622047244095
"Quintana, Jose",CU,310,0.8950246324772895,-1.5039376439165375,-1.5039376439165375,True,1.0,1.5039376439165375,95.15748031496062,100.0,95.15748031496062
"Skenes, Paul",SI,312,0.7973674315573817,-1.4837500161778403,-1.4837500161778403,True,1.0,1.4837500161778403,95.0,100.0,95.0
"Ross, Joe",FF,307,0.8350595866228185,-1.4794396944244415,-1.4794396944244415,True,1.0,1.4794396944244415,94.92125984251969,100.0,94.92125984251969
"Paddack, Chris",CH,604,0.8138572409800846,-1.477112636186222,-1.477112636186222,True,1.0,1.477112636186222,94.88188976377953,100.0,94.88188976377953
"Lodolo, Nick",CH,541,0.8143455057083062,-1.4726427522877914,-1.4726427522877914,True,1.0,1.4726427522877914,94.84251968503938,100.0,94.84251968503938
"Mize, Casey",SL,406,0.8459644043580526,-1.4625981251370033,-1.4625981251370033,True,1.0,1.4625981251370033,94.7244094488189,100.0,94.7244094488189
"Rogers, Trevor",CH,407,0.8166207251129748,-1.4518139559514962,-1.4518139559514962,True,1.0,1.4518139559514962,94.52755905511812,100.0,94.52755905511812
"Sugano, Tomoyuki",ST,509,0.8802772789814459,-1.4506488561625008,-1.4506488561625008,True,1.0,1.4506488561625008,94.44881889763779,100.0,94.44881889763779
"King, Bryan",FF,656,0.8373086915892305,-1.4475920995158187,-1.4475920995158187,True,1.0,1.4475920995158187,94.37007874015748,100.0,94.37007874015748
"Kelly, Merrill",CU,274,0.8269548801711951,-2.0250235987859693,-2.0250235987859693,True,1.0,2.0250235987859693,98.50393700787401,91.33333333333333,94.30196850393702
"Rogers, Trevor",FF,665,0.8392487610739757,-1.42012048393208,-1.42012048393208,True,1.0,1.42012048393208,94.05511811023622,100.0,94.05511811023622
"Milner, Hoby",ST,406,0.8837833317564425,-1.4133967134096828,-1.4133967134096828,True,1.0,1.4133967134096828,93.97637795275591,100.0,93.97637795275591
"Wilson, Steven",ST,568,0.8845933893030496,-1.4047897752656227,-1.4047897752656227,True,1.0,1.4047897752656227,93.77952755905513,100.0,93.77952755905513
"Duran, Jhoan",FS,456,0.857871731051205,-1.400971551034956,-1.400971551034956,True,1.0,1.400971551034956,93.66141732283465,100.0,93.66141732283465
"Mikolas, Miles",SL,580,0.8524615992559089,-1.3933285725360596,-1.3933285725360596,True,1.0,1.3933285725360596,93.50393700787401,100.0,93.50393700787401
"Suarez, Ranger",CU,404,0.9096708647157843,-1.391818153942248,-1.391818153942248,True,1.0,1.391818153942248,93.46456692913387,100.0,93.46456692913387
"McGreevy, Michael",ST,296,0.8836482825571013,-1.414831623941661,-1.414831623941661,True,1.0,1.414831623941661,94.01574803149606,98.66666666666667,93.4291338582677
"Webb, Logan",CH,792,0.8233154673687874,-1.3905260543609146,-1.3905260543609146,True,1.0,1.3905260543609146,93.34645669291338,100.0,93.34645669291338
"Wentz, Joey",SL,462,0.8527702611301621,-1.39003778777885,-1.39003778777885,True,1.0,1.39003778777885,93.30708661417323,100.0,93.30708661417323
"Freeland, Kyle",FF,828,0.8416867385724879,-1.3855984314140868,-1.3855984314140868,True,1.0,1.3855984314140868,93.18897637795276,100.0,93.18897637795276
"Singer, Brady",SL,809,0.8533807094914961,-1.383529519897038,-1.383529519897038,True,1.0,1.383529519897038,93.07086614173228,100.0,93.07086614173228
"Bazardo, Eduard",ST,574,0.887041882571831,-1.378774302415803,-1.378774302415803,True,1.0,1.378774302415803,92.99212598425197,100.0,92.99212598425197
"Kershaw, Clayton",SL,761,0.8546073440953899,-1.3704518099695449,-1.3704518099695449,True,1.0,1.3704518099695449,92.8740157480315,100.0,92.8740157480315
"Gray, Sonny",ST,523,0.8879725185223023,-1.3688862073120738,-1.3688862073120738,True,1.0,1.3688862073120738,92.83464566929133,100.0,92.83464566929133
"Flaherty, Jack",KC,760,0.9236814913414412,-1.3664957462708156,-1.3664957462708156,True,1.0,1.3664957462708156,92.75590551181102,100.0,92.75590551181102
"Webb, Logan",FF,258,0.7602162687556645,-2.5392300130830643,-2.5392300130830643,True,1.0,2.5392300130830643,99.44881889763779,86.0,92.52874015748031
"Olson, Reese",CH,300,0.827961839657638,-1.3479902259882774,-1.3479902259882774,True,1.0,1.3479902259882774,92.51968503937007,100.0,92.51968503937007
"Wheeler, Zack",FF,979,0.8444821221698466,-1.346015465855607,-1.346015465855607,True,1.0,1.346015465855607,92.48031496062991,100.0,92.48031496062991
"Montero, Rafael",FS,518,0.8663914633716576,-1.3339343976061049,-1.3339343976061049,True,1.0,1.3339343976061049,92.36220472440945,100.0,92.36220472440945
"Pfaadt, Brandon",FC,267,0.7895488801802669,-1.7911276053418201,-1.7911276053418201,True,1.0,1.7911276053418201,97.44094488188976,89.0,92.22460629921261
"Gausman, Kevin",FF,1822,0.8460502137485884,-1.3238111018418368,-1.3238111018418368,True,1.0,1.3238111018418368,92.20472440944883,100.0,92.20472440944883
"Milner, Hoby",SI,386,0.8092332046430946,-1.3193877230617954,-1.3193877230617954,True,1.0,1.3193877230617954,92.08661417322834,100.0,92.08661417322834
"Yamamoto, Yoshinobu",FS,811,0.8684665681734348,-1.3176065232380645,-1.3176065232380645,True,1.0,1.3176065232380645,92.04724409448819,100.0,92.04724409448819
"Kelly, Kevin",SI,347,0.811636340899248,-1.2860999648282196,-1.2860999648282196,True,1.0,1.2860999648282196,91.73228346456693,100.0,91.73228346456693
