player_name,comp_player_name,rank,physical_distance
"Alexander, Jason","Eflin, Zach",1,0.5185764264345472
"Alexander, Jason","Bassitt, Chris",2,0.5339761001722098
"Alexander, Jason","Roupp, Landen",3,0.7415501613963208
"Alexander, Jason","Darvish, Yu",4,0.7426578046482927
"Alexander, Jason","Barlow, Scott",5,0.7588202563682123
"Alexander, Jason","Leiter Jr., Mark",6,0.7592366656494632
"Alexander, Jason","Flaherty, Jack",7,0.807628139710216
"Alexander, Jason","Gray, Sonny",8,0.8087901986035717
"Alexander, Jason","Kahnle, Tommy",9,0.9069093560754713
"Alexander, Jason","Wilson, Steven",10,0.9110288706450835
"Alexander, Scott","Banda, Anthony",1,0.6301651674840115
"Alexander, Scott","Messick, Parker",2,0.6765511831295005
"Alexander, Scott","Rodriguez, Eduardo",3,0.8619596708696599
"Alexander, Scott","King, John",4,0.8765146875642268
"Alexander, Scott","Koenig, Jared",5,0.8823607088613376
"Alexander, Scott","Ferguson, Caleb",6,0.910913930537089
"Alexander, Scott","Speier, Gabe",7,0.9482721574446229
"Alexander, Scott","Pérez, Cionel",8,0.952427950486681
"Alexander, Scott","Beeks, Jalen",9,0.9722962254932883
"Alexander, Scott","Soto, Gregory",10,0.979382083107178
"Alexander, Tyler","Murphy, Chris",1,0.21643783056957186
"Alexander, Tyler","Imanaga, Shota",2,0.36680222950808633
"Alexander, Tyler","Boyd, Matthew",3,0.4017223100211567
"Alexander, Tyler","Allen, Logan",4,0.584129834593527
"Alexander, Tyler","Hart, Kyle",5,0.5929645398415607
"Alexander, Tyler","Bummer, Aaron",6,0.6152867276969318
"Alexander, Tyler","Allard, Kolby",7,0.735692807899775
"Alexander, Tyler","Strahm, Matt",8,0.7406772508201872
"Alexander, Tyler","Pérez, Martín",9,0.7883441446304886
"Alexander, Tyler","Walter, Brandon",10,0.8668524555739703
"Allard, Kolby","Boyd, Matthew",1,0.531001549632961
"Allard, Kolby","Murphy, Chris",2,0.5733290507217863
"Allard, Kolby","Allen, Logan",3,0.6549584725132779
"Allard, Kolby","Ogasawara, Shinnosuke",4,0.7077059693046345
"Allard, Kolby","Alexander, Tyler",5,0.735692807899775
"Allard, Kolby","Suarez, Ranger",6,0.7450365637688718
"Allard, Kolby","Imanaga, Shota",7,0.7724928506472286
"Allard, Kolby","Bummer, Aaron",8,0.8163085455400265
"Allard, Kolby","Simpson, Josh",9,0.89450307559964
"Allard, Kolby","Pérez, Martín",10,0.8997085134172257
"Allen, Logan","Bummer, Aaron",1,0.2524821068344766
"Allen, Logan","Boyd, Matthew",2,0.4407763574976281
"Allen, Logan","Murphy, Chris",3,0.50361845372803
"Allen, Logan","Imanaga, Shota",4,0.5466238578925491
"Allen, Logan","Alexander, Tyler",5,0.584129834593527
"Allen, Logan","Allard, Kolby",6,0.6549584725132779
"Allen, Logan","Hart, Kyle",7,0.7353857500308577
"Allen, Logan","Walter, Brandon",8,0.8484363442723171
"Allen, Logan","Heaney, Andrew",9,0.8977581191634774
"Allen, Logan","Sears, JP",10,1.0102896139431194
"Altavilla, Dan","Santillan, Tony",1,0.5688158724371296
"Altavilla, Dan","Morgan, David",2,0.6453090117231336
"Altavilla, Dan","Cano, Yennier",3,0.7634345160930744
"Altavilla, Dan","Weissert, Greg",4,0.858346407708353
"Altavilla, Dan","Hanifee, Brenan",5,0.8860961201635877
"Altavilla, Dan","Iglesias, Raisel",6,0.8914071542925471
"Altavilla, Dan","Dollander, Chase",7,0.9143950236706611
"Altavilla, Dan","Hancock, Emerson",8,0.971234065495128
"Altavilla, Dan","Weaver, Luke",9,0.9962147746030128
"Altavilla, Dan","Alvarado, Elvis",10,1.1045582498229949
"Alvarado, Elvis","Brazobán, Huascar",1,0.7929578898342142
"Alvarado, Elvis","Hanifee, Brenan",2,0.8614629863989307
"Alvarado, Elvis","Cano, Yennier",3,0.9570687875376798
"Alvarado, Elvis","Barnett, Mason",4,1.0534957871288484
"Alvarado, Elvis","Santillan, Tony",5,1.0735618228409163
"Alvarado, Elvis","Duran, Jhoan",6,1.0782229588096826
"Alvarado, Elvis","Weaver, Luke",7,1.0950813835913498
"Alvarado, Elvis","Brieske, Beau",8,1.0957603500461002
"Alvarado, Elvis","Altavilla, Dan",9,1.1045582498229949
"Alvarado, Elvis","Vest, Will",10,1.1377638247151713
"Alvarado, José","Headrick, Brent",1,1.0740401775795843
"Alvarado, José","Chapman, Aroldis",2,1.32308372509877
"Alvarado, José","Mayza, Tim",3,1.3473747336500597
"Alvarado, José","Megill, Trevor",4,1.362034347622981
"Alvarado, José","Montgomery, Mason",5,1.4332588162591935
"Alvarado, José","Sabrowski, Erik",6,1.5088653716164622
"Alvarado, José","Suarez, Robert",7,1.5229230719158644
"Alvarado, José","Bautista, Félix",8,1.576199104404336
"Alvarado, José","Clase, Emmanuel",9,1.6933536029019018
"Alvarado, José","Helsley, Ryan",10,1.7219187892601429
"Alvarez, Andrew","Cameron, Noah",1,0.44716962084668005
"Alvarez, Andrew","Chafin, Andrew",2,0.5771096846710624
"Alvarez, Andrew","Farris, Mitch",3,0.6174734306780395
"Alvarez, Andrew","Kershaw, Clayton",4,0.7714577638886323
"Alvarez, Andrew","Springs, Jeffrey",5,0.8335454642737663
"Alvarez, Andrew","Harris, Hogan",6,0.8394211963314048
"Alvarez, Andrew","Gage, Matt",7,0.8992639777363163
"Alvarez, Andrew","Rolison, Ryan",8,0.9355483953071799
"Alvarez, Andrew","Saalfrank, Andrew",9,0.9400910223805977
"Alvarez, Andrew","Thielbar, Caleb",10,0.9407052757360937
"Anderson, Grant","Lawrence, Justin",1,0.3386301384123953
"Anderson, Grant","Schreiber, John",2,0.6234308368810989
"Anderson, Grant","Sewald, Paul",3,0.7687050130146535
"Anderson, Grant","Ryan, Joe",4,1.268720849689699
"Anderson, Grant","Uceta, Edwin",5,1.319425137187705
"Anderson, Grant","Woodford, Jake",6,1.39637563266868
"Anderson, Grant","Legumina, Casey",7,1.501242074525192
"Anderson, Grant","Festa, Matt",8,1.5087738906353834
"Anderson, Grant","Webb, Logan",9,1.521753418222167
"Anderson, Grant","May, Dustin",10,1.596602216708905
"Anderson, Tyler","Saalfrank, Andrew",1,0.37251646662815663
"Anderson, Tyler","Cameron, Noah",2,0.8936706340180522
"Anderson, Tyler","Gibson, Cade",3,0.9897389017131222
"Anderson, Tyler","Lauer, Eric",4,1.0306657312112804
"Anderson, Tyler","Thielbar, Caleb",5,1.0631334291302972
"Anderson, Tyler","Springs, Jeffrey",6,1.071312120008853
"Anderson, Tyler","Long, Sam",7,1.1496037938065615
"Anderson, Tyler","Alvarez, Andrew",8,1.15386201034612
"Anderson, Tyler","Povich, Cade",9,1.215215815996815
"Anderson, Tyler","Suarez, Ranger",10,1.234112031753631
"Armstrong, Shawn","Houser, Adrian",1,0.25755361568327995
"Armstrong, Shawn","Abel, Mick",2,0.38422850655424307
"Armstrong, Shawn","Ginn, J.T.",3,0.38735978404114785
"Armstrong, Shawn","Kittredge, Andrew",4,0.40465720288785856
"Armstrong, Shawn","Ohtani, Shohei",5,0.4127038300013292
"Armstrong, Shawn","Hoffmann, Andrew",6,0.41581390581655275
"Armstrong, Shawn","Dana, Caden",7,0.4588760454246017
"Armstrong, Shawn","Pepiot, Ryan",8,0.46166006470119525
"Armstrong, Shawn","Smith, Shane",9,0.4670838511980244
"Armstrong, Shawn","Holderman, Colin",10,0.4747784488600568
"Arrighetti, Spencer","Nola, Aaron",1,0.765059362585813
"Arrighetti, Spencer","Singer, Brady",2,0.8424016797307777
"Arrighetti, Spencer","Williams, Devin",3,0.9638704697518331
"Arrighetti, Spencer","Eovaldi, Nathan",4,1.078158957484856
"Arrighetti, Spencer","Maton, Phil",5,1.0885715079405633
"Arrighetti, Spencer","Webb, Logan",6,1.1551121042935955
"Arrighetti, Spencer","Oviedo, Johan",7,1.2409076648950037
"Arrighetti, Spencer","Irvin, Jake",8,1.2716951702243795
"Arrighetti, Spencer","Ramírez, Yohan",9,1.2840121445147266
"Arrighetti, Spencer","Darvish, Yu",10,1.3578040371973676
"Ashby, Aaron","Ashcraft, Graham",1,0.5887575594615659
"Ashby, Aaron","Peralta, Wandy",2,1.234018180386856
"Ashby, Aaron","Little, Brendon",3,1.5346103080269675
"Ashby, Aaron","Kinley, Tyler",4,1.5652959478387938
"Ashby, Aaron","Márquez, Germán",5,1.6630274498263855
"Ashby, Aaron","Pomeranz, Drew",6,1.682522312761573
"Ashby, Aaron","Casparius, Ben",7,1.7062679509419685
"Ashby, Aaron","Montas, Frankie",8,1.7088961387605717
"Ashby, Aaron","Holmes, Clay",9,1.742347631054261
"Ashby, Aaron","Brubaker, JT",10,1.7458830143813269
"Ashcraft, Braxton","Bradley, Taj",1,0.36851663229179216
"Ashcraft, Braxton","Molina, Anthony",2,0.39145159002480495
"Ashcraft, Braxton","Cease, Dylan",3,0.40477445485647967
"Ashcraft, Braxton","Bradish, Kyle",4,0.47653384934984727
"Ashcraft, Braxton","Fermin, José",5,0.5641384117394407
"Ashcraft, Braxton","Bivens, Spencer",6,0.5971892739820275
"Ashcraft, Braxton","Green, Chad",7,0.619908116221594
"Ashcraft, Braxton","Kowar, Jackson",8,0.6858519989892152
"Ashcraft, Braxton","Mejia, Juan",9,0.705674014457725
"Ashcraft, Braxton","Clarke, Taylor",10,0.7260550510393935
"Ashcraft, Graham","Ashby, Aaron",1,0.5887575594615659
