player_name,season,pitcher_effectiveness,pitcher_command,trusted_velocity_score,trusted_movement_score,trusted_tunneling_score,raw_tunneling_score,pitcher_effectiveness_contribution,pitcher_command_contribution,trusted_velocity_score_contribution,trusted_movement_score_contribution,paom_score,paom_confidence,effectiveness_confidence,movement_confidence,command_confidence,velocity_confidence
"Sale, Chris",2024,100.0,77.02127659574468,91.70212765957447,40.85106382978723,,,65.93305153445394,15.965507191101018,12.231460219760761,0.0,94.13001894531571,49.98235373796777,49.98235373796777,100.0,97.6809946714032,100.0
"Smith, Cade",2024,96.17021276595744,92.5531914893617,75.1063829787234,81.38297872340425,,,63.40795594377272,19.185070795936305,10.017878091822618,0.0,92.61090483153164,42.54622725856869,42.54622725856869,75.0,92.11355589276683,75.0
"Grove, Michael",2024,97.65957446808511,65.53191489361701,95.31914893617022,93.61702127659575,,,64.38993756237097,13.583912195743405,12.713907606619076,0.0,90.68775736473346,32.659932659932664,32.659932659932664,100.0,76.25874420564686,100.0
"Jax, Griffin",2024,92.34042553191489,94.25531914893617,75.53191489361703,98.08510638297872,,,60.8828603530915,19.537899684137432,10.074636607923598,0.0,90.49539664515252,27.722936197512468,27.722936197512468,100.0,82.19132334581772,100.0
"Skubal, Tarik",2024,99.14893617021276,75.1063829787234,70.85106382978724,4.042553191489362,,,65.37191918096921,15.56857469187475,9.45029293081284,0.0,90.3907868036568,47.8928046544165,47.8928046544165,100.0,97.6703237603528,100.0
"Phillips, Evan",2024,95.74468085106383,82.76595744680851,67.4468085106383,61.170212765957444,,,63.127389767030365,17.156304688779823,8.996224802005015,0.0,89.27991925781521,28.2471694082461,28.2471694082461,100.0,85.82463186077644,100.0
"Iglesias, Raisel",2024,94.68085106382979,85.74468085106382,63.61702127659574,35.53191489361702,,,62.42597432517447,17.773755243131795,8.485398157096212,0.0,88.68512772540248,26.919926919926915,26.919926919926915,100.0,79.48678414096916,100.0
"Wheeler, Zack",2024,90.85106382978724,84.46808510638299,78.72340425531915,45.95744680851064,,,59.900878734493254,17.50913357698095,10.500325478680931,0.0,87.91033779015514,42.69208698993923,42.69208698993923,100.0,98.52080123266566,100.0
"Crochet, Garrett",2024,98.93617021276596,47.65957446808511,90.85106382978724,50.638297872340424,,,65.23163609259804,9.87920886963157,12.117943187558806,0.0,87.22878814978841,47.9872672650601,47.9872672650601,100.0,92.88267223382046,100.0
"King, Michael",2024,95.95744680851064,86.17021276595744,41.06382978723404,35.95744680851064,,,63.26767285540154,17.861962465182078,5.477196803744378,0.0,86.606832124328,43.158517203477025,43.158517203477025,100.0,97.55804867157846,100.0
