player_name,n_pitch_types,horizontal_coverage,horizontal_coverage_pre_dampening,vertical_coverage,vertical_coverage_pre_dampening,velocity_range,hull_area,hull_area_pre_dampening,hull_method,fastball_relative_break,fastball_relative_break_pre_dampening,anchor_type,no_anchor_available,avg_nn_distance,avg_nn_distance_pre_dampening,quadrant_coverage_count,confidence_score,raw_movement_score,movement_score,trusted_movement_score
"Dubin, Shawn",5,28.371266280970886,32.793800000000005,24.964504866621752,28.6689,12.548699999999997,458.36367140328804,502.4854953900001,hull,22.120454762936692,22.786510216497184,FF,False,12.548144641457078,11.671621098108531,4,100.0,2.724894083086785,96.67590027700831,96.67590027700831
"Beck, Tristan",4,26.6689240809171,28.2757,28.751035101453397,30.096899999999998,14.07050000000001,254.99734345584173,271.027494675,hull,27.84747163908053,28.089460040197746,FF,False,16.6245754732147,16.30612071143375,3,100.0,2.6703445449759013,96.39889196675901,96.39889196675901
"Maton, Phil",4,31.925224080917097,33.532,21.348235101453398,22.6941,14.64500000000001,300.9041319008418,316.93428312000003,hull,26.69373130371896,26.935719704836174,SI,False,15.499163127521323,15.180708365740369,3,100.0,2.619513378742073,95.84487534626038,95.84487534626038
"Warren, Will",5,31.19196628097088,35.6145,22.84640486662175,26.5508,13.073400000000007,428.1195870332879,472.24141102,hull,23.09779002295515,23.76384547651564,FF,False,10.57231907191478,9.695795528566233,3,100.0,2.546011265246441,95.56786703601108,95.56786703601108
"Sheehan, Emmet",4,22.6829240809171,24.2897,30.4889351014534,31.8348,17.730000000000004,279.1584659908417,295.18861721,hull,24.580830171728245,24.82281857284546,FF,False,17.973590889511588,17.655136127730636,3,100.0,2.493875772077229,95.42936288088643,95.42936288088643
"Adam, Jason",4,29.8242240809171,31.431,20.935535101453397,22.281399999999998,17.076800000000006,272.9965187608417,289.02666998,hull,23.789135571460204,24.03112397257742,FF,False,15.87237550845223,15.553920746671276,2,100.0,2.139716256353197,93.49030470914127,93.49030470914127
"Ogasawara, Shinnosuke",4,20.2801240809171,21.8869,34.8405351014534,36.1864,18.755199999999988,262.1522771708418,278.18242839000004,hull,21.951386123704577,22.19337452482179,FF,False,15.955786361805341,15.637331600024387,3,100.0,2.101022265549681,93.35180055401662,93.35180055401662
"Burke, Sean",4,19.073924080917102,20.6807,31.9337351014534,33.2796,14.714299999999994,297.5431732758418,313.57332449500007,hull,21.648424249681526,21.89041265079874,FF,False,16.33708542803215,16.018630666251198,3,100.0,2.077808448210265,93.21329639889197,93.21329639889197
"McLean, Nolan",6,27.58210848102466,34.8204,21.2426746317901,27.3056,15.825000000000003,401.91975738073404,474.13325413499996,hull,20.395343486405487,21.485465992409253,SI,False,12.33688308061644,10.902290755700298,4,100.0,2.0734561427636677,93.07479224376732,93.07479224376732
"Javier, Cristian",5,26.49846628097088,30.921,26.36490486662175,30.0693,16.4927,364.14859556328787,408.27041954999993,hull,21.287444287270247,21.95349974083074,FF,False,10.545724209558099,9.669200666209552,2,100.0,2.006583686614592,92.5207756232687,92.5207756232687
"Bradish, Kyle",4,22.0892240809171,23.695999999999998,26.9251351014534,28.271,10.8403,293.47894000584176,309.509091225,hull,23.70191819491474,23.943906596031955,SI,False,13.998932618584602,13.680477856803648,3,100.0,1.9613795693993215,91.82825484764543,91.82825484764543
"Faucher, Calvin",5,26.096966280970882,30.5195,24.493904866621754,28.198300000000003,9.826999999999998,318.990842103288,363.11266609000006,hull,22.149199565287457,22.81525501884795,FF,False,12.703619731309892,11.827096187961345,3,100.0,1.9339937827239289,91.68975069252078,91.68975069252078
"Bassitt, Chris",5,31.091066280970878,35.5136,18.97400486662175,22.6784,20.3069,303.26559297828794,347.387416965,hull,25.083794643403355,25.749850096963847,SI,False,10.496752600048008,9.620229056699461,3,100.0,1.925575806844894,91.55124653739612,91.55124653739612
