player_name,comp_player_name,season,p_throws,rank,physical_distance
"Akin, Keegan","Kay, Anthony",2020,L,1,0.5040244145689298
"Akin, Keegan","Raley, Brooks",2020,L,2,0.5224808920443689
"Akin, Keegan","Allard, Kolby",2020,L,3,0.5707133958591176
"Akin, Keegan","Lauer, Eric",2020,L,4,0.6679835165315083
"Akin, Keegan","Sheffield, Justus",2020,L,5,0.7837053643405607
"Akin, Keegan","Rogers, Taylor",2020,L,6,0.8100649672143576
"Akin, Keegan","Howard, Sam",2020,L,7,0.825640229235499
"Akin, Keegan","Young, Alex",2020,L,8,0.8545903813770371
"Akin, Keegan","Minor, Mike",2020,L,9,0.8734963961544158
"Akin, Keegan","McFarland, T.J.",2020,L,10,0.8831094669755942
"Alexander, Scott","Morejon, Adrian",2020,L,1,0.7209236607780423
"Alexander, Scott","Ferguson, Caleb",2020,L,2,0.7407568384784048
"Alexander, Scott","Scott, Tanner",2020,L,3,0.7849570406050314
"Alexander, Scott","McGee, Jake",2020,L,4,0.8030517365171264
"Alexander, Scott","Minter, A.J.",2020,L,5,0.8332723884272448
"Alexander, Scott","Cabrera, Génesis",2020,L,6,0.9949465998678774
"Alexander, Scott","Borucki, Ryan",2020,L,7,1.005302452467195
"Alexander, Scott","Wilson, Justin",2020,L,8,1.0563865688428602
"Alexander, Scott","Britton, Zack",2020,L,9,1.0962191977391271
"Alexander, Scott","Peralta, Wandy",2020,L,10,1.10366672789147
"Alexander, Tyler","Paxton, James",2020,L,1,0.4658586540502512
"Alexander, Tyler","Turley, Nik",2020,L,2,0.4765518779625425
"Alexander, Tyler","Shreve, Chasen",2020,L,3,0.5032210187110997
"Alexander, Tyler","Holland, Derek",2020,L,4,0.5099296950366
"Alexander, Tyler","Lester, Jon",2020,L,5,0.5968247018539559
"Alexander, Tyler","Fleming, Josh",2020,L,6,0.6010955980108881
"Alexander, Tyler","Springs, Jeffrey",2020,L,7,0.6300958740189236
"Alexander, Tyler","Freeland, Kyle",2020,L,8,0.7134618575852851
"Alexander, Tyler","Gonzalez, Gio",2020,L,9,0.7378335680059003
"Alexander, Tyler","Boyd, Matthew",2020,L,10,0.7385488286226545
"Allard, Kolby","Pérez, Martín",2020,L,1,0.38647202568474537
"Allard, Kolby","Sheffield, Justus",2020,L,2,0.4492611211988334
"Allard, Kolby","Rogers, Taylor",2020,L,3,0.47960849753092755
"Allard, Kolby","Akin, Keegan",2020,L,4,0.5707133958591176
"Allard, Kolby","Kay, Anthony",2020,L,5,0.6597141375221733
"Allard, Kolby","Valdez, Framber",2020,L,6,0.6907670030399686
"Allard, Kolby","Minor, Mike",2020,L,7,0.7449034477308254
"Allard, Kolby","Raley, Brooks",2020,L,8,0.8357621662644484
"Allard, Kolby","Heaney, Andrew",2020,L,9,0.8375272549214978
"Allard, Kolby","Holland, Derek",2020,L,10,0.8520242150724163
"Alvarado, José","Chapman, Aroldis",2020,L,1,1.014012872903235
"Alvarado, José","Soto, Gregory",2020,L,2,1.5358034218279426
"Alvarado, José","Taylor, Blake",2020,L,3,1.6068452342512896
"Alvarado, José","Kikuchi, Yusei",2020,L,4,1.8250588370356313
"Alvarado, José","Snell, Blake",2020,L,5,1.8494301040229282
"Alvarado, José","Wilson, Justin",2020,L,6,1.9084589589439804
"Alvarado, José","Matzek, Tyler",2020,L,7,1.9726086913390337
"Alvarado, José","Martin, Brett",2020,L,8,1.9770524587293594
"Alvarado, José","Ferguson, Caleb",2020,L,9,2.034638708164553
"Alvarado, José","McGee, Jake",2020,L,10,2.09435413397415
"Anderson, Brett","Anderson, Tyler",2020,L,1,0.3398075882429616
"Anderson, Brett","Miley, Wade",2020,L,2,0.658110999200728
"Anderson, Brett","Osich, Josh",2020,L,3,0.6904570128112486
"Anderson, Brett","Benjamin, Wes",2020,L,4,0.736870379853929
"Anderson, Brett","Keuchel, Dallas",2020,L,5,0.8507165252057227
"Anderson, Brett","Castano, Daniel",2020,L,6,0.853943117731483
"Anderson, Brett","Kershaw, Clayton",2020,L,7,0.868279135210805
"Anderson, Brett","Hart, Kyle",2020,L,8,0.9127189252063402
"Anderson, Brett","Sandoval, Patrick",2020,L,9,0.9348445289534739
"Anderson, Brett","Smith, Will",2020,L,10,0.9396198254306279
"Anderson, Tyler","Anderson, Brett",2020,L,1,0.3398075882429616
"Anderson, Tyler","Miley, Wade",2020,L,2,0.64672601737361
"Anderson, Tyler","Castano, Daniel",2020,L,3,0.6741824658304859
"Anderson, Tyler","Osich, Josh",2020,L,4,0.6967936549487588
"Anderson, Tyler","Holland, Derek",2020,L,5,0.7697661215299967
"Anderson, Tyler","Kershaw, Clayton",2020,L,6,0.7698059081247214
"Anderson, Tyler","Benjamin, Wes",2020,L,7,0.8048587215823865
"Anderson, Tyler","Lauer, Eric",2020,L,8,0.8273171398255754
"Anderson, Tyler","Smith, Will",2020,L,9,0.8414626662317918
"Anderson, Tyler","Fried, Max",2020,L,10,0.876606393836224
"Baragar, Caleb","Reed, Cody",2020,L,1,0.4005918038464074
"Baragar, Caleb","Kikuchi, Yusei",2020,L,2,0.6353681394001275
"Baragar, Caleb","Borucki, Ryan",2020,L,3,0.6365197700298113
"Baragar, Caleb","Garrett, Amir",2020,L,4,0.7208664370319728
"Baragar, Caleb","Matz, Steven",2020,L,5,0.7806048177354229
"Baragar, Caleb","Diekman, Jake",2020,L,6,0.8443330924765494
"Baragar, Caleb","Taylor, Blake",2020,L,7,0.9249559055272476
"Baragar, Caleb","Rogers, Trevor",2020,L,8,0.9508832712144865
"Baragar, Caleb","García, Jarlín",2020,L,9,0.9594786680833881
"Baragar, Caleb","Ray, Robbie",2020,L,10,1.0156942695940168
"Beeks, Jalen","Taylor, Blake",2020,L,1,0.6378539130114513
"Beeks, Jalen","García, Jarlín",2020,L,2,0.8017665875621784
"Beeks, Jalen","Matz, Steven",2020,L,3,0.8863690212001636
"Beeks, Jalen","Borucki, Ryan",2020,L,4,0.9490260537982887
"Beeks, Jalen","Matzek, Tyler",2020,L,5,0.9770796893247239
"Beeks, Jalen","Ray, Robbie",2020,L,6,1.0166553636662539
