player_name,boundary_type,vertex_order,HB,IVB
"Ashcraft, Graham",bbox,3,2.5277,9.6814
"Assad, Javier",hull,0,-13.4489,10.764
"Assad, Javier",hull,1,13.2493,2.1567
"Assad, Javier",hull,2,-5.1783,16.495
"Avila, Luinder",hull,0,-12.1154,10.5715
"Avila, Luinder",hull,1,12.1707,-7.2558
"Avila, Luinder",hull,2,-0.5905,13.6362
"Bachar, Lake",hull,0,-9.3758,18.3405
"Bachar, Lake",hull,1,-13.105,7.1491
"Bachar, Lake",hull,2,2.2592,1.5794
"Bachar, Lake",hull,3,11.5192,0.0514
"Bachman, Sam",bbox,0,-16.0937,-2.0562
"Bachman, Sam",bbox,1,2.3358,-2.0562
"Bachman, Sam",bbox,2,2.3358,9.8242
"Bachman, Sam",bbox,3,-16.0937,9.8242
"Backhus, Kyle",bbox,0,-13.0634,2.1358
"Backhus, Kyle",bbox,1,18.3363,2.1358
"Backhus, Kyle",bbox,2,18.3363,2.2024
"Backhus, Kyle",bbox,3,-13.0634,2.2024
"Baker, Bryan",hull,0,-14.4453,7.9755
"Baker, Bryan",hull,1,6.902,4.9636
"Baker, Bryan",hull,2,-4.1949,18.0817
"Banda, Anthony",hull,0,-6.5393,-1.652
"Banda, Anthony",hull,1,15.5231,9.8538
"Banda, Anthony",hull,2,10.0527,14.4711
"Banks, Tanner",hull,0,2.3037,14.4989
"Banks, Tanner",hull,1,-12.6198,2.9236
"Banks, Tanner",hull,2,10.8913,3.1808
"Banks, Tanner",hull,3,13.8125,8.9293
"Barlow, Scott",hull,0,-12.8779,9.2086
"Barlow, Scott",hull,1,16.6484,-8.1944
"Barlow, Scott",hull,2,13.2454,6.6464
"Barlow, Scott",hull,3,-3.5787,12.3414
"Barnes, Jacob",bbox,0,-2.5778,4.5922
"Barnes, Jacob",bbox,1,4.8907,4.5922
"Barnes, Jacob",bbox,2,4.8907,17.0444
"Barnes, Jacob",bbox,3,-2.5778,17.0444
"Barnett, Mason",hull,0,14.0765,1.6604
"Barnett, Mason",hull,1,-0.6313,15.3433
"Barnett, Mason",hull,2,8.856,-15.9305
"Bassitt, Chris",hull,0,-16.2262,4.5263
"Bassitt, Chris",hull,1,16.801,-11.4808
"Bassitt, Chris",hull,2,19.2874,-0.7207
"Bassitt, Chris",hull,3,0.7967,8.4824
"Bassitt, Chris",hull,4,-5.1596,11.1976
"Basso, Brady",bbox,0,4.6189,16.4756
"Basso, Brady",bbox,1,4.6189,16.4756
"Basso, Brady",bbox,2,4.6189,16.4756
"Basso, Brady",bbox,3,4.6189,16.4756
"Bauers, Jake",bbox,0,4.5048,17.341
"Bauers, Jake",bbox,1,4.5048,17.341
"Bauers, Jake",bbox,2,4.5048,17.341
"Bauers, Jake",bbox,3,4.5048,17.341
"Bautista, Félix",hull,0,-8.8016,10.5144
"Bautista, Félix",hull,1,5.8316,0.7432
"Bautista, Félix",hull,2,-4.7712,20.64
"Baz, Shane",hull,0,-16.7255,8.9244
"Baz, Shane",hull,1,7.5531,-12.479
"Baz, Shane",hull,2,2.5146,7.7349
"Baz, Shane",hull,3,-9.9042,16.6529
"Bazardo, Eduard",hull,0,-16.2035,10.8516
"Bazardo, Eduard",hull,1,16.0662,-4.0014
"Bazardo, Eduard",hull,2,-8.3431,16.1817
"Beck, Tristan",hull,0,18.6228,-1.7136
"Beck, Tristan",hull,1,-9.6529,15.6858
