player_name,p_throws
"Garcia, Rico",R
"Garcia, Robert",L
"García, Luis",R
"García, Yimi",R
"Garrett, Reed",R
"Garza, Justin",R
"Gasser, Robert",L
"Gausman, Kevin",R
"Gerber, Joey",R
"Gervase, Paul",R
"Gibaut, Ian",R
"Gibson, Cade",L
"Gibson, Kyle",R
"Gil, Luis",R
"Gilbert, Logan",R
"Gilbert, Tyler",L
"Gilbreath, Lucas",L
"Gillaspie, Logan",R
"Gillispie, Connor",R
"Ginkel, Kevin",R
"Ginn, J.T.",R
"Giolito, Lucas",R
"Gipson-Long, Sawyer",R
"Glasnow, Tyler",R
"Gomber, Austin",L
"Gonsolin, Tony",R
"González, Wikelman",R
"Gordon, Colton",L
"Gordon, Tanner",R
"Gore, MacKenzie",L
"Graceffo, Gordon",R
"Granillo, Andre",R
"Graveman, Kendall",R
"Gray, Jon",R
"Gray, Sonny",R
"Green, Chad",R
"Greene, Hunter",R
"Guenther, Sean",L
"Guerrero, Luis",R
"Gusto, Ryan",R
"Gómez, Yoendrys",R
"Hader, Josh",L
"Hagenman, Justin",R
"Hahn, Jesse",R
"Hall, DL",L
"Halvorsen, Seth",R
"Hamel, Dom",R
"Hamilton, Ian",R
"Hampson, Garrett",R
"Hancock, Emerson",R
"Hanifee, Brenan",R
"Harrington, Thomas",R
"Harris, Hayden",L
"Harris, Hogan",L
"Harrison, Kyle",L
"Hart, Kyle",L
"Hartlieb, Geoff",R
"Harvey, Hunter",R
"Hatch, Thomas",R
"Headrick, Brent",L
"Heaney, Andrew",L
"Hedges, Austin",R
"Heineman, Tyler",R
"Helsley, Ryan",R
"Henderson, Logan",R
"Hendricks, Kyle",R
"Hendriks, Liam",R
"Henriquez, Edgardo",R
"Henriquez, Ronny",R
"Henry, Cole",R
"Henry, Tommy",L
"Herget, Jimmy",R
"Herget, Kevin",R
"Hernandez, Nick",R
"Hernández, Carlos",R
"Hernández, Daysbel",R
"Hernández, Enrique",R
"Herrera, Jose",R
"Herrin, Tim",L
"Heuer, Codi",R
"Hicks, Jordan",R
"Hill, Jaden",R
"Hill, Rich",L
"Hill, Tim",L
"Hiraldo, Yaramil",R
"Hjelle, Sean",R
"Hodge, Porter",R
"Hoeing, Bryan",R
"Hoffman, Jeff",R
"Hoffman, Nolan",R
"Hoffmann, Andrew",R
"Hoglund, Gunnar",R
"Holderman, Colin",R
"Hollowell, Gavin",R
"Holman, Grant",R
"Holmes, Clay",R
"Holmes, Grant",R
"Holton, Tyler",L
"Horn, Bailey",L
"Horton, Cade",R
"Houck, Tanner",R
"Houser, Adrian",R
"Hudson, Bryan",L
"Hummel, Cooper",R
"Hurter, Brant",L
"Iglesias, Raisel",R
"Imanaga, Shota",L
"Irvin, Jake",R
"Jackson, Alex",R
"Jackson, Luke",R
"Jacob, Alek",R
"Jameson, Drey",R
"Jankowski, Travis",R
"Jansen, Kenley",R
"Jarvis, Bryce",R
"Javier, Cristian",R
"Jax, Griffin",R
"Jobe, Jackson",R
"Johnson, Pierce",R
"Johnson, Ryan",R
"Johnson, Seth",R
"Joyce, Ben",R
"Junis, Jakob",R
"Junk, Janson",R
"Kahnle, Tommy",R
"Kavadas, Niko",R
"Keller, Brad",R
"Keller, Mitch",R
"Kelly, Casey",R
"Kelly, Kevin",R
"Kelly, Merrill",R
"Kelly, Michael",R
"Kelly, Zack",R
"Kent, Zak",R
"Kerkering, Orion",R
"Kershaw, Clayton",L
"Kikuchi, Yusei",L
"Kimbrel, Craig",R
"Kiner-Falefa, Isiah",R
"King, Bryan",L
"King, John",L
"King, Michael",R
"Kingery, Scott",R
"Kinley, Tyler",R
"Kirby, George",R
"Kittredge, Andrew",R
"Klein, Will",R
"Knack, Landon",R
"Kochanowicz, Jack",R
"Koenig, Jared",L
"Kolek, Stephen",R
"Kopech, Michael",R
"Koss, Christian",R
"Kowar, Jackson",R
"Kranick, Max",R
"Kremer, Dean",R
"Kriske, Brooks",R
"Krook, Matt",L
"La Sorsa, Joe",L
"Lange, Alex",R
"Lao, Sauryn",R
"Lara, Andry",R
"Latz, Jacob",L
"Lauer, Eric",L
"Laweryson, Cody",R
"Lawrence, Casey",R
"Lawrence, Justin",R
"Lazar, Max",R
"Leahy, Kyle",R
"Leasure, Jordan",R
"Leclerc, José",R
"Lee, Chase",R
"Lee, Dylan",L
"Lee, Korey",R
"Legumina, Casey",R
"Leiter Jr., Mark",R
"Leiter, Jack",R
"Liberatore, Matthew",L
"Littell, Zack",R
"Little, Brendon",L
"Little, Jack",R
"Little, Luke",L
"Lively, Ben",R
"Lodolo, Nick",L
"Long, Sam",L
"Lopez, Jacob",L
"Lopez, Nicky",R
"Lord, Brad",R
"Lorenzen, Michael",R
"Loutos, Ryan",R
"Lovelady, Richard",L
"Loáisiga, Jonathan",R
"Lucas, Easton",L
"Lucchesi, Joey",L
"Lugo, Seth",R
"Luzardo, Jesús",L
"Lynch IV, Daniel",L
"López, Jorge",R
"López, Pablo",R
"López, Reynaldo",R
"MacIver, Willie",R
"Maeda, Kenta",R
"Mahle, Tyler",R
"Maile, Luke",R
"Maldonado, Anthony",R
"Manaea, Sean",L
"Mantiply, Joe",L
"Marinaccio, Ron",R
"Martin, Chris",R
"Martin, Corbin",R
"Martin, Davis",R
"Martinez, Justin",R
"Martinez, Nick",R
"Martinez, Seth",R
"Mastrobuoni, Miles",R
"Mateo, Jorge",R
"Maton, Phil",R
"Matsui, Yuki",L
"Matthews, Zebby",R
"Mattson, Isaac",R
"Matz, Steven",L
"Matzek, Tyler",L
"Maxwell, Zach",R
"May, Dustin",R
"Mayza, Tim",L
"Mazur, Adam",R
"McCaughan, Darren",R
"McCormick, Chas",L
"McCullers Jr., Lance",R
"McDaniels, Garrett",L
"McDermott, Chayce",R
"McDonald, Trevor",R
"McFarland, T.J.",L
"McGee, Easton",R
"McGough, Scott",R
"McGreevy, Michael",R
"McGuire, Reese",R
"McKenzie, Triston",R
"McKinstry, Zach",R
"McLean, Nolan",R
"Mears, Nick",R
"Mederos, Victor",R
"Megill, Trevor",R
"Megill, Tylor",R
"Mejia, Juan",R
"Melton, Troy",R
"Mena, Cristian",R
"Mercado, Michael",R
"Merryweather, Julian",R
"Messick, Parker",L
"Mey, Luis",R
"Meyer, Max",R
"Mikolas, Miles",R
"Miley, Wade",L
"Miller, Bobby",R
"Miller, Bryce",R
"Miller, Erik",L
"Miller, Mason",R
"Miller, Shelby",R
"Milner, Hoby",L
"Minter, A.J.",L
"Misiewicz, Anthony",L
"Misiorowski, Jacob",R
"Mize, Casey",R
"Mlodzinski, Carmen",R
"Molina, Anthony",R
"Moll, Sam",L
"Montas, Frankie",R
"Montero, Keider",R
"Montero, Rafael",R
"Montes De Oca, Christian",R
"Monteverde, Patrick",L
"Montgomery, Mason",L
"Morales, Luis",R
"Morejon, Adrian",L
"Moreta, Dauri",R
"Morgan, David",R
"Morgan, Eli",R
"Morillo, Juan",R
"Morton, Charlie",R
"Morán, Jovani",L
"Murdock, Noah",R
"Murfee, Penn",R
"Murphy, Chris",L
"Murray, Jayden",R
"Muñoz, Andrés",R
"Muñoz, Roddery",R
"Muñoz, Rolddy",R
"Myers, Tobias",R
"Márquez, Germán",R
"Nance, Tommy",R
"Nelson, Kyle",L
"Nelson, Ryne",R
"Neris, Héctor",R
"Newcomb, Sean",L
"Newman, Kevin",R
"Nicolas, Kyle",R
"Nido, Tomás",R
"Nikhazy, Doug",L
"Nola, Aaron",R
"Nola, Austin",R
"Núñez, Dedniel",R
"Núñez, Eduarniel",R
"O'Brien, Riley",R
"Ober, Bailey",R
"Ogasawara, Shinnosuke",L
"Ohl, Pierson",R
"Ohtani, Shohei",R
"Okert, Steven",L
"Olson, Reese",R
"Ort, Kaleb",R
"Ortiz, Luis",R
"Orze, Eric",R
"Otañez, Michel",R
"Ottavino, Adam",R
"Oviedo, Johan",R
"Owens, Tyler",R
"Paddack, Chris",R
"Pagán, Emilio",R
"Palencia, Daniel",R
"Palisch, Jake",L
"Pallante, Andre",R
"Palmquist, Carson",L
"Parker, Mitchell",L
"Patrick, Chad",R
"Payamps, Joel",R
"Pearson, Nate",R
"Peguero, Elvis",R
"Peguero, Joel",R
"Pepiot, Ryan",R
"Peralta, Freddy",R
"Peralta, Luis",L
"Peralta, Sammy",L
"Peralta, Wandy",L
"Peraza, Oswald",R
"Perdomo, Angel",L
"Pereda, Jhonny",R
"Perkins, Jack",R
"Petersen, Michael",R
"Peterson, David",L
"Petty, Chase",R
"Pfaadt, Brandon",R
"Phillips, Connor",R
"Phillips, Evan",R
"Phillips, Tyler",R
"Pilkington, Konnor",L
"Pintaro, Jonathan",R
"Pivetta, Nick",R
"Piña, Robinson",R
"Poche, Colin",L
"Pomeranz, Drew",L
"Pop, Zach",R
"Pope, Austin",R
"Porter, Logan",R
"Poteet, Cody",R
"Poulin, PJ",L
"Povich, Cade",L
"Pressly, Ryan",R
"Priester, Quinn",R
"Puk, A.J.",L
"Pérez, Cionel",L
"Pérez, Eury",R
"Pérez, Martín",L
"Quantrill, Cal",R
"Quijada, José",L
"Quintana, Jose",L
"Ragans, Cole",L
"Ragsdale, Carson",R
"Rainey, Tanner",R
"Raley, Brooks",L
"Ramírez, Erasmo",R
"Ramírez, Yohan",R
"Rangel, Alan",R
"Raquet, Nick",L
"Rashi, Taylor",R
"Rasmussen, Drew",R
"Ray, Robbie",L
"Rea, Colin",R
"Reyes, Pablo",R
"Reynolds, Sean",R
"Ribalta, Orlando",R
"Richards, Trevor",R
"Richardson, Lyon",R
"Rivas, Leo",R
"Rivera, Emmanuel",R
"Roa, Christian",R
"Robert, Daniel",R
"Roberts, Ethan",R
"Robertson, David",R
"Rock, Joe",L
"Rocker, Kumar",R
"Rodriguez, Bradgley",R
"Rodriguez, Carlos",R
"Rodriguez, Eduardo",L
"Rodríguez, Elvin",R
"Rodríguez, Manuel",R
"Rodríguez, Randy",R
"Rodríguez, Yariel",R
"Rodón, Carlos",L
"Rogers, Jake",R
"Rogers, Taylor",L
"Rogers, Trevor",L
"Rogers, Tyler",R
"Rojas, Miguel",R
"Rolison, Ryan",L
"Romano, Jordan",R
"Romero, JoJo",L
"Rooney, John",L
"Rosario, Amed",R
"Ross, Joe",R
"Roupp, Landen",R
"Roycroft, Chris",R
"Ruiz, José",R
"Rutledge, Jackson",R
"Ryan, Joe",R
"Saalfrank, Andrew",L
"Sabrowski, Erik",L
"Salazar, César",R
"Salazar, Eduardo",R
"Sale, Chris",L
"Sanders, Cam",R
"Sandlin, Nick",R
"Sandridge, Jayvien",L
"Sands, Cole",R
"Sanmartin, Reiver",L
"Sanoja, Javier",R
"Santana, Dennis",R
"Santillan, Tony",R
"Santos, Gregory",R
"Sasaki, Roki",R
"Saucedo, Tayler",L
"Sauer, Matt",R
"Scherzer, Max",R
"Schlittler, Cam",R
"Schmidt, Clarke",R
"Scholtens, Jesse",R
"Schreiber, John",R
"Schultz, Paxton",R
"Schwellenbach, Spencer",R
"Scott, Tanner",L
"Scott, Tayler",R
"Seabold, Connor",R
"Sears, JP",L
"Seigler, Anthony",R
"Selby, Colin",R
"Senga, Kodai",R
"Senzatela, Antonio",R
"Severino, Luis",R
"Sewald, Paul",R
"Seymour, Carson",R
"Seymour, Ian",L
"Sheehan, Emmet",R
"Shugart, Chase",R
"Shuster, Jared",L
"Silseth, Chase",R
"Simpson, Josh",L
"Sims, Lucas",R
"Singer, Brady",R
"Sisk, Evan",L
"Skenes, Paul",R
"Skubal, Tarik",L
"Slaten, Justin",R
"Slater, Austin",R
"Smith, Cade",R
"Smith, Dylan",R
"Smith, Shane",R
"Smith-Shawver, AJ",R
"Snell, Blake",L
"Snider, Collin",R
"Sommers, Drew",L
"Soriano, George",R
"Soriano, José",R
"Soroka, Michael",R
"Soto, Gregory",L
"Sousa, Bennett",L
"Speier, Gabe",L
"Spence, Mitch",R
"Spiers, Carson",R
"Springs, Jeffrey",L
"Sproat, Brandon",R
"Stallings, Jacob",R
"Stanek, Ryne",R
"Steele, Justin",L
"Stefanic, Michael",R
"Stephenson, Robert",R
"Sterner, Justin",R
"Stewart, Brock",R
"Stock, Robert",R
"Strahm, Matt",L
"Stratton, Chris",R
"Stratton, Hunter",R
"Strickland, Hunter",R
"Strider, Spencer",R
"Stroman, Marcus",R
"Strowd, Kade",R
"Suarez, José",L
"Suarez, Ranger",L
"Suarez, Robert",R
"Suero, Wander",R
"Sugano, Tomoyuki",R
"Sulser, Cole",R
"Suter, Brent",L
"Suárez, Albert",R
"Svanson, Matt",R
"Swanson, Erik",R
"Sánchez, Ali",R
"Sánchez, Cristopher",L
"Sánchez, Gary",R
"Taillon, Jameson",R
"Tarnok, Freddy",R
"Tate, Dillon",R
"Taylor, Grant",R
"Taylor, Troy",R
"Tellez, Rowdy",L
"Teng, Kai-Wei",R
"Thielbar, Caleb",L
"Thomas, Connor",L
"Thompson, Mason",R
"Thompson, Ryan",R
"Thompson, Zach",R
"Thornton, Trent",R
"Tidwell, Blade",R
"Tinoco, Jesus",R
"Tolle, Payton",L
"Tong, Jonah",R
"Tonkin, Michael",R
"Topa, Justin",R
"Toro, Abraham",R
"Torrens, Luis",R
"Toussaint, Touki",R
"Treinen, Blake",R
"Trejo, Alan",R
"Trevino, Jose",R
"Triolo, Jared",R
"Trivino III, Lou",R
"Turnbull, Spencer",R
"Uceta, Edwin",R
"Ureña, José",R
"Uribe, Abner",R
"Urquidy, José",R
"Valdez, Framber",L
"Van Belle, Brian",R
"VanWey, Logan",R
"Vargas, Carlos",R
"Varland, Louis",R
"Vasil, Mike",R
"Veneziano, Anthony",L
"Verlander, Justin",R
"Vesia, Alex",L
"Vest, Will",R
"Vodnik, Victor",R
"Vásquez, Randy",R
"Vázquez, Luis",R
"Wacha, Michael",R
"Waddell, Brandon",L
"Wade, Tyler",R
"Waldrep, Hurston",R
"Waldron, Matt",R
"Walker, Josh",L
"Walker, Ryan",R
"Walker, Taijuan",R
"Walter, Brandon",L
"Walters, Andrew",R
"Warren, Austin",R
"Warren, Will",R
"Weathers, Ryan",L
"Weaver, Luke",R
"Webb, Jacob",R
"Webb, Logan",R
"Weems, Jordan",R
"Weissert, Greg",R
"Wells, Tyler",R
"Wentz, Joey",L
"Wesneski, Hayden",R
"Wheeler, Zack",R
"Whisenhunt, Carson",L
"White, Owen",R
"Whitley, Forrest",R
"Whitlock, Garrett",R
"Wicks, Jordan",L
"Wilcox, Cole",R
"Wiles, Nathan",R
"Williams, Devin",R
"Williams, Gavin",R
"Williams, Luke",R
"Williams, Trevor",R
"Wilson, Bryse",R
"Wilson, Justin",L
"Wilson, Steven",R
"Wilson, Weston",R
"Wilson, Will",R
"Winans, Allan",R
"Winckowski, Josh",R
