player_name,p_throws,horizontal_coverage,vertical_coverage,velocity_range,hull_area,centroid_dispersion,avg_nn_distance,map_x,map_y
"Fried, Max",L,30.7358,31.9518,20.64110000000001,441.36698817,14.090935547659583,8.680292043768626,3.5930172074219024,-1.9490302078446071
"Buehler, Walker",R,32.1641,31.6471,16.55510000000001,514.0536694250001,14.334525867089242,9.212271691546604,3.5506630582383782,-1.81908901732747
"McLean, Nolan",R,34.8204,27.3056,15.825000000000005,474.133254135,15.174246092710735,10.902290755700298,3.4286625535604496,-1.2494850026056796
"Dubin, Shawn",R,32.793800000000005,28.6689,12.548699999999997,502.4854953900001,16.5212506892398,11.671621098108533,3.379492213128951,-1.0784244100667963
"Keller, Mitch",R,31.5552,29.3769,16.669799999999995,457.8185147699999,14.763161089272105,10.555229799588334,3.3381712120585387,-1.4227365732512123
"Warren, Will",R,35.6145,26.5508,13.073400000000008,472.24141102,16.64992008525987,9.695795528566231,3.2808263529772392,-1.1858489188461814
"Javier, Cristian",R,30.921,30.0693,16.4927,408.27041954999993,16.063910387698705,9.669200666209552,3.2672599326703247,-1.4164680148925692
"Darvish, Yu",R,29.9953,28.1795,22.8035,387.351068455,12.24487339684118,10.404548165015338,3.251262568647592,-1.6202424861156703
"Bassitt, Chris",R,35.5136,22.6784,20.3069,347.387416965,14.800451447623592,9.62022905669946,3.135982592482032,-1.1583890631452352
"Newcomb, Sean",L,33.731700000000004,30.4386,14.243099999999998,419.023397025,15.392283753264756,8.895420453083528,3.097003754065109,-1.4895653366481192
"Ogasawara, Shinnosuke",L,21.8869,36.1864,18.755199999999988,278.18242839000004,14.465897494234408,15.637331600024387,2.9409526080828705,-0.8944211067434168
"Gibson, Cade",L,32.419,28.712000000000003,13.116,440.8787800600001,14.827348698997332,10.800784243939704,2.940733686247656,-1.1830302060550413
"Ohtani, Shohei",R,27.4485,28.6304,19.972400000000007,411.11572879,12.09190338280032,8.766645545841541,2.87602450573009,-1.7918303037927197
"Yamamoto, Yoshinobu",R,25.739,32.0872,18.4508,333.37199702500004,13.368886039544936,12.939398071005153,2.847745937627257,-1.1710186622706316
"Sheehan, Emmet",R,24.2897,31.8348,17.730000000000004,295.18861721,13.764574000300096,17.655136127730636,2.8075547894381883,-0.442244858979545
"Gusto, Ryan",R,28.7629,31.4224,13.784599999999998,420.4989368099999,14.054556865514662,8.51388823725417,2.701123350263097,-1.6386071264744726
"Civale, Aaron",R,26.7631,32.8345,14.43610000000001,372.144053325,14.79940958010854,9.25768081446992,2.6895314788291516,-1.5210194055509842
"Lugo, Seth",R,32.0118,29.1154,12.858199999999997,413.83853939,14.147671704384951,7.838377410067882,2.6032313169054486,-1.5553321600785586
"Megill, Tylor",R,27.6754,32.1646,15.0347,311.88862557999994,15.149063699214109,9.16365598216304,2.575553891779173,-1.400144343942878
"Adam, Jason",R,31.431,22.2814,17.076800000000006,289.02666998,13.951433139477436,15.553920746671276,2.540087597959069,-0.19116806756647273
"Maton, Phil",R,33.532,22.6941,14.64500000000001,316.93428312000003,14.264284005308513,15.180708365740369,2.5293008356266387,-0.19439669136732302
"Taillon, Jameson",R,31.2764,27.6966,12.693300000000008,388.33833233,14.510137849326595,9.18361426266254,2.5005833721489155,-1.2467078686738176
"Strowd, Kade",R,30.1287,30.0346,13.242999999999997,349.14154855500004,13.659240465409615,12.539287926042883,2.495731734933307,-0.9233540387115036
"Arrighetti, Spencer",R,33.1541,22.4069,15.597099999999998,339.820414365,15.00051002914372,8.328297445577201,2.4891888254452184,-1.1036424627044186
